graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_scores,stochastic_model_impact_scores,optimization_model_addition_impact_scores,stochastic_model_addition_impact_scores,optimization_state_impact_scores,stochastic_state_impact_scores,optimization_model_time,stochastic_model_time,optimization_model_addition_time,stochastic_model_addition_time,optimization_state_time,stochastic_state_time
Body Segmentation in Drosophila 2013,True,17,1,3,0.17647058823529413,4,1.7058823529411764,8,1.0,1.0,0.0,1,0.006879824418016261,0.12402152641878669,0.136986301369863,"[0.8845401174168297, 0.87133072407045, 0.2548923679060665, 0.5205479452054794, 0.7558708414872798, 0.7558708414872798, 0.8845401174168297, 0.7558708414872799, 0.7558708414872799, 0.5205479452054794, 0.26076320939334635, 0.87133072407045, 0.7558708414872798, 0.5205479452054795, nan, nan, nan]","[0.11453033268101764, 0.45544031311154504, 0.07162915851272013, 0.25602739726027396, 0.4999999999999987, 0.5409393346379631, 0.11678082191780823, 0.28621819960861056, 0.14411937377690803, 0.2652054794520548, 0.24975538160469665, 0.5445596868884521, 0.47953033268101647, 0.10397260273972604, nan, nan, nan]","[0.1, 0.23333333333333334, 0.06666666666666667, 0.13333333333333333, 0.26666666666666666, 0.26666666666666666, 0.16666666666666669, 0.2, 0.30000000000000004, 0.13333333333333333, 0.1, 0.23333333333333334, 0.26666666666666666, 0.13333333333333333, nan, nan, nan]","[0.11375, 0.4475, 0.1225, 0.29, 0.5675, 0.63875, 0.30125, 0.215, 0.40625, 0.265, 0.27875, 0.5225, 0.6075, 0.255, nan, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan]",0.43675994873046875,8091.016816139221,90.4940550327301,8180.820233106613,55.08539700508118,11.602777004241943
BT474 Breast Cell Line Short-term ErbB Network,True,16,1,5,0.3125,6,2.875,75,1.3866666666666667,1.0,0.4869861964733246,2,0.01113466997365229,0.010893246187363835,0.03994190268700073,"[0.737835875090777, 0.5541031227305737, 0.3246187363834423, 0.6659404502541757, 0.982570806100218, 0.6078431372549019, 0.4153957879448076, 0.289760348583878, 0.30137981118373275, 0.3769063180827887, 1.0, nan, nan, nan, nan, nan]","[0.11139433551198225, 0.21500363108206105, 0.0498111837327518, 0.09079157588961419, 0.24427015250544476, 0.06304284676833587, 0.059157588961509376, 0.09792302106027513, 0.10950617283950581, 0.06986201888162567, 0.09100217864923714, nan, nan, nan, nan, nan]","[1.0, 1.0, 0.6, 1.0, 1.0, 1.0, 0.8666666666666666, 0.7999999999999999, 0.8666666666666666, 1.0, 0.4666666666666667, nan, nan, nan, nan, nan]","[0.16906666666666825, 0.2782666666666562, 0.13306666666666866, 0.2209333333333292, 0.5985333333333618, 0.16493333333333537, 0.13880000000000212, 0.20559999999999756, 0.20319999999999783, 0.147866666666669, 0.1608000000000025, nan, nan, nan, nan, nan]","[0.045751633986928116, 0.045751633986928116, 0.08133623819898331, 0.03195352214960059, 0.014524328249818447, 0.05591866376180101, 0.3376906318082788, 0.045751633986928116, 0.08424110384894698, 0.07770515613652867, 0.5236020334059548, nan, nan, nan, nan, nan]","[0.01, 0.05, 0.16, 0.03, 0.0, 0.06, 0.29, 0.03, 0.12, 0.09, 0.7, nan, nan, nan, nan, nan]",6.000119924545288,6132.366709947586,1891.9296100139618,6404.28199505806,2016.5963661670685,10.095922946929932
Cardiac development,True,15,1,1,0.06666666666666667,7,2.533333333333333,2,2.0,2.0,0.0,2,0.010460251046025104,0.5,0.5104602510460251,"[1.0, 1.0, 1.0, 1.0, 0.5104602510460251, 1.0, 1.0, 1.0, 1.0, 0.5104602510460251, 0.5104602510460251, 1.0, 1.0, 0.5104602510460251, nan]","[1.0, 1.0, 1.0, 0.045313807531380756, 0.25552301255230125, 0.44, 0.20062761506276153, 0.0810460251046025, 0.0302092050209205, 0.49958158995815904, 0.5014644351464436, 0.2742677824267782, 1.0, 0.500418410041841, nan]","[-0.0, -0.0, 0.06666666666666667, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, nan]","[1.25, 1.0, 1.0, 0.05, 0.25, 0.615, 0.235, 0.08, 0.02, 0.75, 0.5, 0.41, 1.0, 0.5, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",2.0249459743499756,6745.187203884125,118.82957696914673,7282.812272071838,98.94722199440002,17.480602025985718
Cell Cycle Transcription by Coupled CDK and Network Oscillators,True,9,1,0,0.0,4,2.111111111111111,1,1.0,1.0,0.0,1,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.2, 0.22, 0.54, 0.02, 0.21, 0.25, 0.55, 0.04, 0.5]","[0.03333333333333333, 0.03333333333333333, 0.03333333333333333, -0.0, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333]","[0.25, 0.46, 0.47, 0.19, 0.61, 0.21, 0.51, 0.28, 0.91]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.10989189147949219,1653.4005122184753,8.849081039428711,1638.9037129878998,1.0967254638671875e-05,3.6391050815582275
Cortical Area Development,True,5,1,0,0.0,4,2.8,2,1.5,1.5,0.5,2,0.375,0.5,0.875,"[1.0, 1.0, 0.875, 1.0, 0.875]","[0.4825, 0.4275, 0.29625, 0.1175, 0.19875]","[-0.0, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333]","[0.165, 0.34, 0.11, 0.125, 0.195]","[1.0, 0.0, 1.0, 0.0, 0.0]","[0.53, 0.0, 0.48, 0.12, 0.0]",0.061532020568847656,595.6204521656036,6.307097911834717,575.4954810142517,2.747931957244873,1.188608169555664
Fanconi anemia and checkpoint recovery,True,15,1,0,0.0,8,4.4,1,4.0,4.0,0.0,4,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.14, 0.3, 0.18, 0.02, 0.18, 0.25, 0.2, 0.07, 0.26, 0.16, 0.23, 0.06, 0.04, 0.03]","[-0.0, -0.0, 0.06666666666666667, -0.0, -0.0, -0.0, 0.03333333333333333, -0.0, -0.0, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, -0.0, 0.03333333333333333, -0.0]","[0.03, 0.22, 0.6, 0.12, 0.01, 0.18, 0.21, 0.2, 0.13, 0.78, 0.4, 0.41, 0.09, 0.03, 0.04]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.6385610103607178,12820.498449087143,297.85711216926575,12783.968941926956,0.00016117095947265625,21.024595975875854
HCC1954 Breast Cell Line Short-term ErbB Network,True,16,1,5,0.3125,6,2.875,165,2.412121212121212,2.0,0.9722693154014778,6,0.004269781033219826,0.0042656916514320535,0.02681291895185862,"[0.6806825106642291, 1.0, 0.874466788543571, 0.9999999999999999, 0.3802559414990859, 0.8397318708104813, 0.36684948202315665, 1.0, 0.6160877513711152, 0.8616697135892747, 0.8153564899451553, nan, nan, nan, nan, nan]","[0.08076782449725785, 0.2730834856794733, 0.12675807434490913, 0.23333942717855563, 0.09418037781840231, 0.08515539305301631, 0.07834856794637435, 0.5669591712370713, 0.07711761121267521, 0.13594149908592057, 0.10285191956124219, nan, nan, nan, nan, nan]","[-0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.26666666666666666, -0.0, -0.0, 0.23333333333333334, nan, nan, nan, nan, nan]","[0.1403636363636328, 0.08042424242424069, 0.17187878787878685, 0.25769696969699124, 0.16024242424242016, 0.12018181818181524, 0.13793939393939048, 0.35539393939398656, 0.1074545454545429, 0.19309090909091364, 0.12242424242423942, nan, nan, nan, nan, nan]","[0.3808653260207191, 0.915904936014625, 0.6343692870201094, 0.4192565508836075, 0.0, 0.15722120658135275, 0.18708104814137722, 0.8049969530773917, 0.3089579524680072, 0.2602071907373552, 0.8049969530773917, nan, nan, nan, nan, nan]","[0.42, 1.0, 0.45, 0.49, 0.0, 0.21, 0.25, 0.83, 0.37, 0.11, 0.42, nan, nan, nan, nan, nan]",16.617720127105713,8873.66772198677,61.989234924316406,9056.558501005173,6046.752641916275,10.238554954528809
Lac Operon,True,13,1,3,0.23076923076923078,4,1.6923076923076923,12,1.6666666666666667,1.0,1.1055415967851332,4,0.046141102521767605,0.09365203761755486,0.14028213166144202,"[1.0, 0.670846394984326, 1.0, 0.5258620689655172, 0.47413793103448276, 0.670846394984326, 0.5336990595611285, 0.5258620689655171, 1.0, 0.4717868338557994, nan, nan, nan]","[0.32507836990595657, 0.5998040752351107, 0.18282131661442017, 0.1824059561128528, 0.3712304075235117, 0.6088714733542331, 0.07847178683385586, 0.4989655172413798, 0.12718652037617562, 0.33485109717868405, nan, nan, nan]","[0.26666666666666666, 0.13333333333333333, 0.26666666666666666, 0.06666666666666667, 0.26666666666666666, 0.2, 0.03333333333333333, 0.13333333333333333, 0.13333333333333333, 0.16666666666666669, nan, nan, nan]","[0.18000000000000013, 0.5800000000000055, 0.19666666666666657, 0.18500000000000008, 0.6733333333333387, 0.6416666666666738, 0.08833333333333326, 0.33333333333333187, 0.09666666666666666, 0.5733333333333387, nan, nan, nan]","[0.26959247648902823, 0.0, 0.25156739811912227, 0.0, 0.26959247648902823, 0.0, 0.0, 0.25156739811912227, 0.26959247648902823, 0.0, nan, nan, nan]","[0.14, 0.2, 0.12, 0.02, 0.18, 0.04, 0.1, 0.17, 0.21, 0.06, nan, nan, nan]",1.0192210674285889,2825.552832841873,147.19329690933228,2791.881723165512,50.36293315887451,5.023473024368286
Mammalian Cell Cycle,True,20,1,1,0.05,5,2.55,2,1.0,1.0,0.0,1,0.008883248730964466,0.5,0.5088832487309645,"[1.0, 1.0, 0.5088832487309645, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5088832487309645, 1.0, 1.0, 0.5088832487309645, 0.5088832487309645, 1.0, 0.5088832487309645, 0.5088832487309645, nan]","[0.02, 0.15, 0.49893401015228406, 0.2, 0.12597715736040607, 0.53, 0.31964467005076136, 0.08, 0.13, 0.13, 0.1, 0.5005329949238578, 0.27893401015228436, 0.08, 0.2552664974619289, 0.04437817258883248, 0.53, 0.5015989847715739, 0.03473350253807106, nan]","[0.06666666666666667, 0.06666666666666667, 0.03333333333333333, 0.06666666666666667, 0.03333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, nan]","[0.03, 0.12, 0.5, 0.24, 0.09, 0.44, 0.365, 0.03, 0.09, 0.1, 0.16, 0.5, 0.235, 0.09, 0.28, 0.045, 0.52, 0.5, 0.065, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.6840379238128662,13228.468492031097,73.84238910675049,13117.371423959732,59.573527097702026,19.462244987487793
Mammalian Cell Cycle 2006,True,10,1,0,0.0,6,3.5,2,6.0,6.0,2.0,8,0.006531204644412175,0.5,0.5065312046444121,"[1.0, 1.0, 1.0, 1.0, 1.0, 0.5065312046444121, 1.0, 1.0, 1.0, 1.0]","[0.72, 0.5434978229317854, 1.0, 0.11467343976777938, 0.2886937590711177, 0.5009143686502175, 0.15454281567489114, 0.1646734397677794, 0.16480406386066762, 0.2194775036284471]","[0.2, -0.0, 0.1, -0.0, 0.06666666666666667, -0.0, -0.0, -0.0, -0.0, -0.0]","[1.855, 0.965, 1.735, 0.175, 0.475, 0.0, 0.14, 0.155, 0.215, 0.215]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0.5400950908660889,3041.188159942627,40.32393479347229,3068.551481962204,40.75896382331848,5.99380898475647
