graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_scores,stochastic_model_impact_scores,optimization_model_addition_impact_scores,stochastic_model_addition_impact_scores,optimization_state_impact_scores,stochastic_state_impact_scores,optimization_model_time,stochastic_model_time,optimization_model_addition_time,stochastic_model_addition_time,optimization_state_time,stochastic_state_time
Trichostrongylus retortaeformis,True,26,1,1,0.038461538461538464,5,2.230769230769231,6,2.6666666666666665,2.5,1.699673171197595,6,0.11662813154956016,0.17054046485578267,0.3553626435172221,"[0.5068608232987958, 1.0, 1.0, 1.0, 0.5068608232987958, 1.0, 1.0, 1.0, 0.48417810137216466, 0.9445533464015681, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5068608232987958, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5068608232987958, 1.0, nan]","[0.16762531503780478, 0.5512545505460652, 0.3135536264351718, 0.15232987958555042, 0.10436292355082614, 0.1428675441052928, 0.07469336320358437, 0.45125455054606517, 0.08335480257630914, 0.3119910389246704, 0.16347241669000293, 0.23415569868384206, 0.382366283954074, 0.5416129935592268, 0.5213441612993556, 0.4723466816017919, 0.23757770932511899, 0.2926155138616631, 0.20102492299075903, 0.20608793055166616, 0.05430411649397928, 0.5601792215065804, 0.6012545505460651, 0.364175301036124, 0.5817922150658075, nan]","[-0.0, 0.13333333333333333, 0.03333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.03333333333333333, 0.06666666666666667, -0.0, 0.03333333333333333, -0.0, 0.13333333333333333, -0.0, -0.0, -0.0, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.03333333333333333, 0.13333333333333333, 0.06666666666666667, -0.0, 0.06666666666666667, 0.06666666666666667, nan]","[0.3400000000000006, 0.7533333333333329, 0.2966666666666674, 0.04166666666666665, 0.24000000000000032, 0.07500000000000004, 0.03333333333333332, 0.5149999999999981, 0.024999999999999994, 0.24666666666666703, 0.0, 0.7549999999999996, 0.0, 0.6849999999999976, 0.5383333333333311, 0.6383333333333296, 0.2650000000000005, 0.356666666666667, 0.2866666666666673, 0.2816666666666673, 0.05833333333333335, 0.3066666666666675, 0.8850000000000032, 0.3616666666666669, 0.921666666666671, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.9445533464015681, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.29, 0.07, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18, 0.0, 0.0, 0.17, 0.0, 0.0, 0.0, nan]",1.1979100704193115,5815.208909988403,55.480196952819824,4166.8956780433655,166.9739010334015,27.86918807029724
Arabidopsis thaliana Cell Cycle,True,14,1,0,0.0,8,4.714285714285714,1,16.0,16.0,0.0,16,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.14, 1.0, 0.16, 0.58, 0.39, 0.01, 0.27, 1.0, 0.29, 0.45, 0.81, 0.17, 0.3, 0.3]","[-0.0, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, -0.0, 0.03333333333333333, 0.03333333333333333, -0.0, 0.03333333333333333, -0.0, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333]","[0.34, 2.04, 0.47, 1.2, 0.93, 0.11, 0.36, 1.96, 1.25, 0.5, 1.26, 0.25, 0.75, 0.81]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",16.014539003372192,6087.5304889678955,286.42021203041077,2384.2584459781647,1.0967254638671875e-05,21.804542064666748
Aurora Kinase A in Neuroblastoma,True,23,1,4,0.17391304347826086,7,1.8695652173913044,23,4.869565217391305,5.0,0.8994852550250956,8,0.024352939971362782,0.055419473361910596,0.0679730557256583,"[0.9029393753827312, 0.9871402327005512, 0.9999999999999999, 1.0, 1.0, 0.9999999999999999, 0.9871402327005512, 1.0, 1.0, 0.9999999999999999, 0.7841396203306796, 0.9999999999999999, 0.7250459277403551, 0.9871402327005512, 0.7841396203306796, 1.0, 0.23116962645437844, 0.9871402327005512, 0.9999999999999999, nan, nan, nan, nan]","[0.2554990814451926, 0.5102725045927725, 0.9935333741579895, 0.4850581751377818, 0.3068401714635635, 0.7968646662584176, 0.5653551745254114, 0.6024984690753189, 0.3947183098591538, 0.498074096754438, 0.5331169626454361, 0.8243233312920986, 0.04685241886099195, 0.4334476423759941, 0.5099326393141436, 0.22469075321494203, 0.04047764849969369, 0.5190998162890369, 0.21754133496631922, nan, nan, nan, nan]","[0.06666666666666667, 0.03333333333333333, 0.7666666666666666, 0.06666666666666667, 0.43333333333333335, 0.5666666666666667, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.23333333333333334, 0.5666666666666667, 0.06666666666666667, 0.03333333333333333, 0.06666666666666667, 0.43333333333333335, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, nan, nan, nan, nan]","[0.2478260869565229, 0.48826086956521075, 1.1060869565216975, 0.444782608695648, 0.30739130434782874, 0.6486956521738974, 0.4499999999999955, 0.4099999999999978, 0.3495652173913056, 0.4439130434782567, 0.5608695652173805, 0.6378260869565066, 0.0691304347826089, 0.49782608695651454, 0.4969565217391233, 0.1656521739130426, 0.03347826086956526, 0.4904347826086889, 0.3030434782608721, nan, nan, nan, nan]","[0.02112676056338028, 0.0, 0.0, 0.11971830985915494, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.006736068585425597, 0.02112676056338028, 0.027250459277403553, 0.17421922841396204, 0.0, 0.06674831598285365, nan, nan, nan, nan]","[0.07, 0.01, 0.03, 0.04, 0.02, 0.02, 0.01, 0.0, 0.07, 0.0, 0.03, 0.02, 0.05, 0.1, 0.01, 0.04, 0.15, 0.02, 0.05, nan, nan, nan, nan]",5.829682111740112,3516.3238639831543,63.30450391769409,3414.0172419548035,1213.3603301048279,16.16794490814209
B cell differentiation,True,22,1,5,0.22727272727272727,7,1.7727272727272727,38,1.5263157894736843,2.0,0.49930699897395464,2,0.011043922411064574,0.029973357015985788,0.04396092362344583,"[0.9999999999999999, 0.5177619893428064, 0.4103019538188277, 0.9999999999999999, 0.3401420959147425, 0.5279751332149201, 0.5297513321492007, 0.5119893428063944, 0.5177619893428064, 0.7739786856127886, 0.988898756660746, 0.5297513321492007, 0.5159857904085258, 0.5279751332149201, 0.5159857904085258, 0.9999999999999999, 0.5119893428063944, nan, nan, nan, nan, nan]","[0.13230461811722827, 0.5323756660745986, 0.06942273534635893, 0.3312433392539927, 0.06914298401420972, 0.5345914742451129, 0.5275532859680265, 0.5309991119005307, 0.5282992895204243, 0.10440497335701535, 0.15161190053285856, 0.5362522202486659, 0.5293072824156282, 0.5292095914742427, 0.5326554174067486, 0.2636056838365867, 0.5300310834813489, nan, nan, nan, nan, nan]","[0.33333333333333337, 0.6666666666666666, 0.33333333333333337, 0.7333333333333333, 0.13333333333333333, 0.43333333333333335, 0.3666666666666667, 0.3666666666666667, 0.6666666666666666, 0.3666666666666667, 0.6, 0.3666666666666667, 0.3666666666666667, 0.43333333333333335, 0.3666666666666667, 0.6666666666666666, 0.3666666666666667, nan, nan, nan, nan, nan]","[0.09157894736842108, 0.41605263157895656, 0.027368421052631563, 0.2647368421052681, 0.011052631578947363, 0.42289473684211465, 0.42763157894737797, 0.4189473684210619, 0.4244736842105358, 0.06473684210526294, 0.09500000000000013, 0.42394736842106207, 0.4194736842105356, 0.4163157894736934, 0.42184210526316723, 0.24315789473684643, 0.4181578947368514, nan, nan, nan, nan, nan]","[0.009325044404973356, 0.0, 0.13410301953818826, 0.0, 0.16918294849023088, 0.014209591474245116, 0.003108348134991119, 0.0, 0.0, 0.0, 0.007992895204262877, 0.0, 0.0, 0.0, 0.003108348134991119, 0.0, 0.0, nan, nan, nan, nan, nan]","[0.1, 0.0, 0.09, 0.0, 0.16, 0.01, 0.0, 0.0, 0.01, 0.0, 0.01, 0.02, 0.0, 0.01, 0.01, 0.0, 0.01, nan, nan, nan, nan, nan]",4.079166889190674,1512.359354019165,2259.5184919834137,1722.675733089447,1578.3432879447937,18.757662057876587
Body Segmentation in Drosophila 2013,True,17,1,3,0.17647058823529413,4,1.7058823529411764,18,1.0555555555555556,1.0,0.2290614236454256,2,0.035166738474258344,0.058535327488396086,0.11655492521918515,"[0.6322846828261991, 0.9298607529654461, 0.482723053120165, 1.0, 0.7318205260443528, 0.7318205260443528, 0.6322846828261991, 1.0, 0.7318205260443529, 1.0, 0.7581227436823105, 0.9030428055698815, 0.7318205260443528, 0.34399174832387824, nan, nan, nan]","[0.15436823104693181, 0.5238937596699325, 0.07732336255801948, 0.26136668385765865, 0.43829809179989665, 0.49809179989685404, 0.14028365136668414, 0.28058277462609615, 0.1559412068076332, 0.29516761217122234, 0.2626199071686438, 0.572619907168643, 0.48432181536874563, 0.2011552346570399, nan, nan, nan]","[0.23333333333333334, 0.6, 0.1, 0.30000000000000004, 0.3666666666666667, 0.3666666666666667, 0.1, 0.5, 0.4, 0.30000000000000004, 0.2, 0.4, 0.3666666666666667, 0.16666666666666669, nan, nan, nan]","[0.10555555555555526, 0.4783333333333419, 0.04666666666666658, 0.2377777777777795, 0.44611111111111873, 0.4805555555555642, 0.08499999999999978, 0.22611111111111248, 0.12277777777777743, 0.26388888888889134, 0.23111111111111263, 0.4783333333333419, 0.4666666666666749, 0.08111111111111091, nan, nan, nan]","[0.0, 0.0, 0.6240330067044869, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan]","[0.13, 0.0, 0.68, 0.0, 0.07, 0.11, 0.43, 0.0, 0.0, 0.0, 0.05, 0.0, 0.03, 0.61, nan, nan, nan]",0.9631869792938232,882.3160638809204,679.9254560470581,960.4890429973602,132.63148593902588,8.548550128936768
BT474 Breast Cell Line Short-term ErbB Network,True,16,1,5,0.3125,6,2.875,153,2.0,2.0,0.0,2,0.004938028093405011,0.00510204081632653,0.02295918367346939,"[1.0, 0.534438775510204, 0.2315051020408163, 0.6243622448979591, 0.9999999999999999, 0.6243622448979591, 0.19451530612244897, 0.5216836734693877, 0.44642857142857145, 0.4362244897959184, 0.8832908163265305, nan, nan, nan, nan, nan]","[0.48368622448973886, 0.6036352040815628, 0.44830994897953985, 0.4741454081632102, 0.5409438775509614, 0.45431122448974465, 0.46554209183668227, 0.4877423469387173, 0.48088010204076126, 0.4592028061223969, 0.5299043367346313, nan, nan, nan, nan, nan]","[1.0, 1.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.26666666666666666, -0.0, -0.0, 0.5333333333333333, nan, nan, nan, nan, nan]","[0.05732026143790831, 0.1252287581699342, 0.02751633986928096, 0.047712418300653446, 0.025098039215686197, 0.032810457516339764, 0.036535947712418186, 0.0695424836601305, 0.049934640522875655, 0.03738562091503256, 0.07575163398692786, nan, nan, nan, nan, nan]","[0.3265306122448979, 0.3265306122448979, 0.14477040816326534, 0.3239795918367347, 0.9362244897959181, 0.1135204081632653, 0.39732142857142855, 0.27678571428571425, 0.44834183673469385, 0.43813775510204084, 0.019770408163265307, nan, nan, nan, nan, nan]","[0.32, 0.32, 0.08, 0.49, 1.0, 0.12, 0.39, 0.27, 0.33, 0.33, 0.0, nan, nan, nan, nan, nan]",9.050177097320557,1065.7838230133057,60.26124095916748,1354.9497430324554,4932.827383041382,10.032794952392578
Budding Yeast Cell Cycle,True,20,1,4,0.2,6,2.1,31,3.0,2.0,2.747432819337753,9,0.02722640358754592,0.03674063295743907,0.07639141506002183,"[0.5230993088395781, 0.8210258275736632, 0.9938159330665697, 1.0, 1.0, 0.9938159330665697, 1.0, 0.7628228446707894, 0.3714077846489633, 1.0, 0.8155692979265188, 0.8628592215351037, 1.0, 0.3841396871589669, 0.9938159330665697, 1.0, nan, nan, nan, nan]","[0.5158857766460512, 0.7007238995998532, 0.3239432520916722, 0.28555110949436324, 0.5771626045834818, 0.17968715896689724, 0.3050454710803955, 0.17396144052382695, 0.1881520552928342, 0.6066860676609643, 0.08239723535831293, 0.4755256456893405, 0.3376864314296122, 0.3106074936340506, 0.12211349581666003, 0.4001200436522375, nan, nan, nan, nan]","[0.7999999999999999, 0.7333333333333333, 0.7999999999999999, 0.6, 0.7999999999999999, 0.7999999999999999, 0.4, 0.6, 0.5333333333333333, 0.7999999999999999, 0.6666666666666666, 0.7333333333333333, 0.6, 0.5333333333333333, 0.6666666666666666, 0.6, nan, nan, nan, nan]","[0.3367741935483841, 0.5377419354838623, 0.20290322580645245, 0.18903225806451737, 0.41677419354838185, 0.13838709677419503, 0.20516129032258143, 0.1461290322580662, 0.09870967741935527, 0.5599999999999907, 0.05258064516129028, 0.399677419354834, 0.185161290322582, 0.2090322580645168, 0.0874193548387098, 0.325161290322578, nan, nan, nan, nan]","[0.0, 0.0, 0.012368133866860677, 0.03637686431429611, 0.0, 0.0, 0.0, 0.13168424881775193, 0.0, 0.0, 0.012368133866860677, 0.0, 0.0, 0.24699890869407057, 0.0, 0.0, nan, nan, nan, nan]","[0.11, 0.06, 0.05, 0.17, 0.0, 0.05, 0.08, 0.53, 0.11, 0.0, 0.1, 0.17, 0.01, 0.14, 0.12, 0.03, nan, nan, nan, nan]",3.9398820400238037,2529.235822916031,1074.3292281627655,2587.043736934662,766.6174261569977,11.254694938659668
Budding Yeast Cell Cycle 2009,True,18,1,0,0.0,6,3.2777777777777777,3,7.333333333333333,2.0,7.542472332656507,18,0.4201154941125334,0.05707964601769912,0.9269911504424779,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.10966814159292036, 0.7583938053097329, 0.9999999999999978, 0.24248672566371685, 0.22718584070796463, 0.2428053097345133, 0.6050575221238925, 0.2740796460176992, 0.9999999999999978, 0.9999999999999978, 0.08903097345132746, 0.24360176991150442, 0.9668008849557501, 0.4087079646017696, 0.11181858407079646, 0.7247566371681399, 0.060902654867256656, 0.19686725663716814]","[0.1, 0.1, -0.0, 0.03333333333333333, -0.0, 0.1, -0.0, -0.0, 0.1, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, 0.1, 0.1, -0.0]","[0.059999999999999984, 0.690000000000001, 0.5233333333333343, 0.24999999999999978, 0.14666666666666675, 0.283333333333333, 0.30333333333333296, 0.3499999999999997, 0.8866666666666648, 0.5333333333333343, 0.07999999999999996, 0.1, 0.6366666666666684, 0.3166666666666662, 0.14666666666666675, 0.8566666666666652, 0.05333333333333332, 0.10666666666666667]","[1.0, 0.0, 0.0, 0.9269911504424779, 0.0, 0.0, 0.07300884955752213, 0.9269911504424779, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.07300884955752213]","[0.24, 0.0, 0.17, 0.08, 0.09, 0.13, 0.2, 0.09, 0.28, 0.21, 0.16, 0.2, 0.0, 0.31, 0.09, 0.19, 0.27, 0.09]",1.6517870426177979,2636.218162059784,108.95675015449524,2895.797422885895,212.2955150604248,17.01539397239685
Cardiac development,True,15,1,1,0.06666666666666667,7,2.533333333333333,2,2.0,2.0,0.0,2,0.010914051841746236,0.5,0.5109140518417462,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5109140518417462, 0.5109140518417462, 0.5109140518417462, 1.0, 1.0, 0.5109140518417462, nan]","[0.42, 1.0, 1.0, 0.020218281036834925, 0.2800000000000001, 0.52, 0.19847203274215555, 0.06021828103683492, 0.0, 0.4993451568894953, 0.49978171896316487, 0.10912687585266029, 1.0, 0.501964529331514, nan]","[-0.0, -0.0, 0.06666666666666667, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, -0.0, nan]","[0.53, 1.0, 1.0, 0.04, 0.24, 0.55, 0.155, 0.115, 0.03, 0.5, 0.5, 0.235, 1.0, 0.5, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.6103379726409912,771.3768510818481,74.29977989196777,780.931825876236,98.64832997322083,10.816183090209961
Cell Cycle Transcription by Coupled CDK and Network Oscillators,True,9,1,0,0.0,4,2.111111111111111,1,1.0,1.0,0.0,1,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.23, 0.22, 0.47, 0.04, 0.2, 0.21, 0.51, 0.08, 0.47]","[0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333]","[0.24, 0.25, 0.97, 0.07, 0.66, 0.29, 0.54, 0.15, 0.53]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.043992042541503906,161.8532419204712,6.784387111663818,153.57499194145203,1.2874603271484375e-05,2.2242519855499268
