graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_scores,stochastic_model_impact_scores,optimization_state_impact_scores,stochastic_state_impact_scores,optimization_model_time,stochastic_model_time,optimization_state_time,stochastic_state_time
Trichostrongylus retortaeformis,False,26,1,1,0.038461538461538464,5,2.230769230769231,11,4.545454545454546,2.0,5.193766129849345,13,0.10538576351336945,0.0168997668997669,0.30536130536130535,"[0.4956293706293706, 0.9944638694638696, 0.7928321678321678, 1.0, 0.9944638694638696, 0.9831002331002333, 1.0, 1.0, 0.48747086247086246, 0.9831002331002331, 0.9831002331002333, 0.9944638694638696, 0.9705710955710957, 1.0, 1.0, 0.9705710955710957, 0.4988344988344988, 1.0, 1.0, 0.9705710955710957, 0.5935314685314685, 1.0, 1.0, 0.4956293706293706, 1.0, nan]","[0.14932692307692286, 0.48658508158508057, 0.32724650349650425, 0.1744580419580418, 0.08730477855477856, 0.15349067599067573, 0.06837121212121215, 0.4855186480186473, 0.10804195804195799, 0.3320046620046625, 0.18756118881118888, 0.2593473193473194, 0.3564248251748255, 0.5239743589743572, 0.5975174825174803, 0.658400349650348, 0.24847610722610758, 0.3005332167832173, 0.13605769230769219, 0.20757284382284394, 0.07907342657342667, 0.6350699300699278, 0.5519405594405573, 0.25253205128205153, 0.6001689976689953, nan]","[0.0842074592074592, 0.0, 0.0, 0.0, 0.3106060606060606, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9032634032634034, 0.40326340326340326, 0.0, 0.017773892773892776, 0.0842074592074592, 0.0, 0.0775058275058275, 0.0, 0.0842074592074592, 0.0, 0.0, 0.0842074592074592, 0.0842074592074592, 0.0842074592074592, 0.0842074592074592, nan]","[0.036, 0.0, 0.0, 0.0, 0.412, 0.0, 0.026, 0.0, 0.161, 0.0, 0.955, 0.523, 0.948, 0.015, 0.029, 0.031, 0.028, 0.0, 0.214, 0.004, 0.063, 0.236, 0.051, 0.029, 0.026, nan]",6.119574785232544,9133.56391787529,608.6731960773468,372.31204080581665
FA BRCA pathway,False,28,1,0,0.0,9,4.392857142857143,1,2.0,2.0,0.0,2,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3, 0.04, 0.02, 0.05, 0.03, 0.11, 0.05, 0.29, 0.03, 0.03, 0.52, 0.01, 0.11, 0.12, 0.16, 0.14, 0.06, 0.03, 0.23, 0.04, 0.26, 0.0, 0.05, 0.28, 0.51, 0.05, 0.02, 0.1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.682111978530884,13641.051672935486,4.887580871582031e-05,598.4800410270691
Arabidopsis thaliana Cell Cycle,False,14,1,0,0.0,8,4.714285714285714,1,8.0,8.0,0.0,8,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.11, 1.0, 0.13, 0.61, 0.41, 0.01, 0.1, 1.0, 0.43, 0.19, 0.24, 0.04, 0.15, 0.17]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30.278321981430054,3216.2563841342926,2.2172927856445312e-05,183.89950895309448
Aurora Kinase A in Neuroblastoma,False,23,1,4,0.17391304347826086,7,1.8695652173913044,47,2.4893617021276597,3.0,0.8720809162518807,3,0.021782759027531285,0.00966183574879227,0.06127637935418256,"[1.0, 0.8304093567251463, 1.0, 0.8304093567251463, 1.0, 1.0, 0.8304093567251463, 1.0, 0.7993897787948131, 1.0, 0.8304093567251463, 1.0, 0.38876175947114167, 0.8304093567251463, 0.8304093567251463, 1.0, 0.8949911009407576, 0.8304093567251463, 1.0, nan, nan, nan, nan]","[0.3158759216882798, 0.520668700737352, 0.7543224002034062, 0.5739232138316838, 0.30943554538520324, 0.7166768370200869, 0.5399923722349375, 0.9308670226290274, 0.40585812356979645, 0.5497279430460225, 0.5696821764556336, 0.7701296720060996, 0.11699466056445462, 0.5235799644037649, 0.5399084668192221, 0.2692092550216132, 0.07932367149758442, 0.5832748538011715, 0.47619883040935973, nan, nan, nan, nan]","[0.0, 0.0, 0.0, 0.010170353419781338, 0.0, 0.019069412662090005, 0.0, 0.02440884820747521, 0.021866259852529876, 0.02440884820747521, 0.0, 0.0, 0.0, 0.0, 0.024663107042969746, 0.0, 0.024663107042969746, 0.0, 0.02440884820747521, nan, nan, nan, nan]","[0.002, 0.01, 0.041, 0.038, 0.001, 0.035, 0.008, 0.021, 0.057, 0.013, 0.002, 0.043, 0.068, 0.005, 0.067, 0.065, 0.134, 0.009, 0.065, nan, nan, nan, nan]",8.88415813446045,7649.201086997986,2423.8497920036316,220.28089094161987
B cell differentiation,False,22,1,5,0.22727272727272727,7,1.7727272727272727,56,1.0357142857142858,1.0,0.18557687223952257,2,0.012143895405130365,0.01927019270192702,0.04141041410414104,"[0.6613366133661337, 0.5084050840508405, 0.9458794587945879, 1.0, 0.1873718737187372, 0.5264452644526445, 0.5030750307503076, 0.5096350963509635, 0.5084050840508405, 0.5334153341533416, 0.4792947929479294, 0.5030750307503076, 0.5321853218532185, 0.5264452644526445, 0.5321853218532185, 1.0, 0.5096350963509635, nan, nan, nan, nan, nan]","[0.15313243132431512, 0.5404551045510512, 0.1008774087740889, 0.499749897498979, 0.0845510455104562, 0.5380893808938145, 0.5379253792537978, 0.5393562935629405, 0.5410701107011129, 0.1342517425174269, 0.12383763837638524, 0.5389831898319034, 0.5494751947519538, 0.5355432554325593, 0.5328290282902876, 0.33745387453874626, 0.5417056170561764, nan, nan, nan, nan, nan]","[0.006560065600656006, 0.0, 0.02050020500205002, 0.0, 0.004100041000410004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.022550225502255022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan, nan, nan]","[0.075, 0.017, 0.078, 0.001, 0.185, 0.003, 0.009, 0.005, 0.012, 0.0, 0.031, 0.005, 0.064, 0.001, 0.068, 0.0, 0.007, nan, nan, nan, nan, nan]",4.351423978805542,3219.96257519722,2639.1144120693207,168.97685289382935
Body Segmentation in Drosophila 2013,False,17,1,3,0.17647058823529413,4,1.7058823529411764,9,1.0,1.0,0.0,1,0.036734432610798104,0.12281488121918423,0.13984760197220977,"[0.5257731958762886, 0.778574630210668, 0.7467503361721202, 0.9834155087404752, 0.778574630210668, 0.778574630210668, 0.7785746302106678, 1.0, 1.0, 0.45764231286418644, 0.7476467951591215, 0.7315105333930974, 0.778574630210668, 0.5750784401613627, nan, nan, nan]","[0.1478171223666518, 0.5113088301210227, 0.05468399820708201, 0.2653025549081134, 0.5059031824294046, 0.5506409681757067, 0.17349170775437042, 0.2738771851187814, 0.1468489466606903, 0.2423083818915288, 0.24995517705065037, 0.48627521290901, 0.506234872254595, 0.17482294935006737, nan, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.10398924249215599, nan, nan, nan]","[0.0, 0.0, 0.126, 0.0, 0.003, 0.001, 0.003, 0.0, 0.02, 0.0, 0.0, 0.0, 0.001, 0.129, nan, nan, nan]",0.39885807037353516,1889.5795159339905,66.3571708202362,88.40132308006287
Bordetella bronchiseptica,False,33,1,0,0.0,6,2.393939393939394,4,1.25,1.0,0.4330127018922193,2,0.3873131334784406,0.031096275474349965,0.9205903021784961,"[0.9378074490513001, 0.9560787069571328, 1.0, 0.9560787069571328, 1.0, 1.0, 1.0, 0.9378074490513001, 0.9205903021784961, 1.0, 1.0, 0.9378074490513001, 0.9645115952213633, 1.0, 1.0, 1.0, 0.9378074490513001, 0.9560787069571328, 0.9560787069571328, 0.9560787069571328, 0.9560787069571328, 1.0, 0.9560787069571328, 0.9560787069571328, 0.9645115952213633, 1.0, 1.0, 0.9560787069571328, 0.9560787069571328, 1.0, 1.0, 1.0, 0.9560787069571328]","[0.15192902319044277, 0.5380990864371032, 0.15889669711876325, 0.016971187631763886, 0.04864722417427969, 0.5897786366830614, 0.5230252986647909, 0.1483942375263528, 0.08017217146872813, 0.5018692902319031, 0.522361208713983, 0.003910751932536894, 0.20513703443429382, 0.06386858749121577, 0.5310646521433575, 0.14744905130007027, 0.0614441321152495, 0.29906886858749127, 0.19366127898805346, 0.2366163035839776, 0.18616654954321862, 0.08476458186929028, 0.16360857343640198, 0.1778531271960647, 0.29888966971187636, 0.5512262825017552, 0.5416092761770885, 0.4568517217146863, 0.1665038650737878, 0.47122628250175574, 0.48371749824314647, 0.5028390723822889, 0.1346837666900914]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.035488404778636684, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9560787069571328, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.017217146872803936, 0.0]","[0.0, 0.0, 0.0, 0.016, 0.015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04, 0.027, 0.0, 0.021, 0.077, 0.0, 0.0, 0.0, 0.034, 0.0, 0.015, 0.0, 0.044, 0.974, 0.0, 0.0, 0.0, 0.052, 0.0, 0.037, 0.035, 0.021]",1.2848920822143555,12190.776051998138,447.21871995925903,880.6492650508881
BT474 Breast Cell Line Short-term ErbB Network,False,16,1,5,0.3125,6,2.875,75,1.0,1.0,0.0,1,0.012722275203709851,0.003987240829346092,0.0430622009569378,"[0.7607655502392346, 0.5318979266347688, 0.5964912280701755, 0.6507177033492824, 0.9728867623604466, 0.6507177033492824, 0.6555023923444976, 0.259170653907496, 0.6778309409888357, 0.34688995215311, 0.9920255183413077, nan, nan, nan, nan, nan]","[0.16929824561403797, 0.1904226475279137, 0.10691387559808796, 0.14617224880383003, 0.3771052631579025, 0.11821371610845491, 0.11960127591706737, 0.15681020733652573, 0.15078149920255424, 0.12271132376395733, 0.12732057416268147, nan, nan, nan, nan, nan]","[0.0, 0.0, 0.06140350877192981, 0.3070175438596492, 0.004784688995215311, 0.008771929824561403, 0.048644338118022316, 0.003189792663476874, 0.19457735247208932, 0.06698564593301434, 0.0, nan, nan, nan, nan, nan]","[0.002, 0.002, 0.093, 0.745, 0.029, 0.057, 0.071, 0.01, 0.194, 0.384, 0.002, nan, nan, nan, nan, nan]",3.9635608196258545,1247.5473880767822,2189.95578289032,91.45862197875977
Budding Yeast Cell Cycle,False,20,1,4,0.2,6,2.1,33,1.8484848484848484,1.0,1.794287435525753,11,0.020197052690392056,0.027707808564231738,0.07220822837951302,"[0.5062972292191436, 0.8627204030226701, 0.5961376994122587, 0.48110831234256923, 0.9391267842149456, 0.8627204030226701, 1.0, 0.7107472712006717, 0.48110831234256923, 1.0, 0.8018471872376154, 0.7296389588581025, 0.9462636439966414, 0.4588581024349286, 0.9391267842149453, 0.8627204030226701, nan, nan, nan, nan]","[0.5119059613769853, 0.5711167086481871, 0.23472712006716934, 0.3240386230058767, 0.6127875734676629, 0.15609571788413032, 0.31790931989924265, 0.11515952980688461, 0.2342359361880762, 0.5585180520570879, 0.044676742233417194, 0.4545633921074679, 0.328727959697731, 0.1927917716204861, 0.06937027707808559, 0.3491939546599476, nan, nan, nan, nan]","[0.22544080604534006, 0.22208228379513015, 0.0, 0.1288832913518052, 0.0, 0.0, 0.0, 0.0, 0.1288832913518052, 0.0, 0.0, 0.2753988245172124, 0.0, 0.0, 0.3702770780856423, 0.0, nan, nan, nan, nan]","[0.239, 0.208, 0.202, 0.382, 0.024, 0.0, 0.0, 0.0, 0.186, 0.0, 0.0, 0.222, 0.111, 0.0, 0.489, 0.0, nan, nan, nan, nan]",4.1649181842803955,3331.0999879837036,941.3107798099518,151.56025004386902
Budding Yeast Cell Cycle 2009,False,18,1,0,0.0,6,3.2777777777777777,1,11.0,11.0,0.0,11,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.11, 1.0, 1.0, 0.33, 0.55, 0.75, 0.59, 0.38, 1.0, 1.0, 0.09, 0.36, 1.0, 0.44, 0.35, 0.78, 0.1, 0.4]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.5954358577728271,3590.8504350185394,3.314018249511719e-05,194.30320000648499
