graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_score,stochastic_model_impact_score,optimization_state_impact_score,stochastic_state_impact_score,optimization_model_time,stochastic_model_time,optimization_state_time,stochastic_state_time
FA BRCA pathway,False,28,2,0,0.0,9,4.392857142857143,1,2.0,2.0,0.0,2,0.0,1.0,1.0,1.0,0.05,0,0.0,0.5097510814666748,3.0088229179382324,5.0067901611328125e-06,6.158666133880615
Arabidopsis thaliana Cell Cycle,False,14,2,0,0.0,8,4.714285714285714,1,8.0,8.0,0.0,8,0.0,1.0,1.0,1.0,0.2,0,0.0,0.29047298431396484,5.935628890991211,5.9604644775390625e-06,2.603682041168213
B cell differentiation,False,22,2,5,0.22727272727272727,7,1.7727272727272727,60,1.05,1.0,0.2179449471770337,2,0.011954453860837475,0.01915945611866502,0.043675319324268644,1.0,0.13327152863617625,0.3877214705165315,0.045,0.14933490753173828,39.318835973739624,322.17113995552063,3.0694398880004883
Body Segmentation in Drosophila 2013,False,17,2,3,0.17647058823529413,4,1.7058823529411764,9,1.0,1.0,0.0,1,0.03559569996192084,0.12188612099644128,0.14190391459074733,0.9999999999999999,0.3388656583629894,0.10809608540925364,0.05,0.023398876190185547,4.432039976119995,3.2304890155792236,2.3068418502807617
Bordetella bronchiseptica,False,33,2,0,0.0,6,2.393939393939394,4,1.25,1.0,0.4330127018922193,2,0.3892957894782998,0.034567901234567905,0.9234567901234568,1.0,0.22428395061728398,0.94320987654321,0.09,0.08671998977661133,5.650431871414185,6.496680021286011,5.615632772445679
Budding Yeast Cell Cycle 2009,False,18,2,0,0.0,6,3.2777777777777777,1,11.0,11.0,0.0,11,0.0,1.0,1.0,1.0,0.425,0,0.0,0.10816192626953125,6.2648680210113525,6.198883056640625e-06,3.3046610355377197
Cardiac development,False,15,2,1,0.06666666666666667,7,2.533333333333333,6,1.0,1.0,0.0,1,0.11341440451837131,0.23763837638376384,0.25904059040590405,1.0,0.11511808118081174,0.272324723247233,0.185,0.0997920036315918,3.302680015563965,9.909501075744629,1.7179341316223145
Cell Cycle Transcription by Coupled CDK and Network Oscillators,False,9,2,0,0.0,4,2.111111111111111,2,3.0,3.0,2.0,5,0.27533039647577096,0.5,0.775330396475771,1.0,0.4361013215859033,1.0,0.405,0.015228033065795898,1.2199931144714355,0.45184803009033203,0.6708760261535645
Cortical Area Development,False,5,2,0,0.0,4,2.8,2,1.0,1.0,0.0,1,0.375,0.5,0.875,1.0,0.255,-0.0,0.125,0.011651992797851562,0.43364906311035156,0.3344449996948242,0.44002294540405273
Fanconi anemia and checkpoint recovery,False,15,2,0,0.0,8,4.4,1,2.0,2.0,0.0,2,0.0,1.0,1.0,1.0,0.08,0,0.0,0.2701139450073242,1.6333868503570557,5.9604644775390625e-06,2.258392095565796
Toll Pathway of Drosophila Signaling Pathway,False,11,2,2,0.18181818181818182,2,1.0,4,1.0,1.0,0.0,1,0.01226702280945493,0.25480283114256824,0.2608695652173913,1.0,0.6457077856420633,-0.0,0.0,0.010558128356933594,0.9225530624389648,0.26697516441345215,0.7465498447418213
Human Gonadal Sex Determination,False,19,2,0,0.0,10,4.157894736842105,3,1.0,1.0,0.0,1,0.23614950603399076,0.4634456452638271,0.5346471710108074,1.0,0.015721551176096634,-0.0,0.005,0.7848420143127441,3.0249741077423096,43.52443814277649,3.299923896789551
Iron acquisition and oxidative stress response in aspergillus fumigatus,False,22,2,2,0.09090909090909091,6,1.7272727272727273,4,5.5,5.5,3.5,9,0.016959516993658778,0.24988558352402745,0.2732265446224256,1.0,0.5741876430205946,1.2814374983349808e-07,0.0,0.056939125061035156,8.569272994995117,84.45776605606079,3.044663190841675
Lac Operon,False,13,2,3,0.23076923076923078,4,1.6923076923076923,9,1.0,1.0,0.0,1,0.040074315832789115,0.11672185430463576,0.14817880794701987,1.0,0.34607615894039756,-0.0,0.0,0.02302098274230957,3.21276593208313,2.2487001419067383,1.09840989112854
Lymphoid and myeloid cell specification and transdifferentiation,False,33,2,2,0.06060606060606061,10,2.8484848484848486,12,1.1666666666666667,1.0,0.37267799624996495,2,0.067799268432483,0.05385896724042198,0.2065519156024431,1.0,0.03837867851193782,0.9403109383675687,0.095,0.9877679347991943,18.556129932403564,278.0133259296417,7.95661997795105
Mammalian Cell Cycle,False,20,2,1,0.05,5,2.55,3,1.0,1.0,0.0,1,0.23294548386657488,0.4713249835201055,0.5234014502307185,1.0,0.21489452867501654,-0.0,0.0,0.05786609649658203,2.288271188735962,2.735408067703247,2.422394037246704
Mammalian Cell Cycle 2006,False,10,2,0,0.0,6,3.5,2,4.0,4.0,3.0,7,0.0030487804878048808,0.5,0.5030487804878049,1.0,0.22067073170731694,0.5030487804878048,0.16,0.06638288497924805,3.2842400074005127,2.5385499000549316,1.1071889400482178
Neurotransmitter Signaling Pathway,False,16,2,0,0.0,3,1.375,4,2.5,2.5,1.5,4,0.04017999182276521,0.24954001839926404,0.30726770929162833,1.0,0.6929070837166509,1.0,0.28,0.015950918197631836,2.4867560863494873,1.0406620502471924,1.8509650230407715
Oxidative Stress Pathway,False,19,2,1,0.05263157894736842,4,1.6842105263157894,2,5.0,5.0,4.0,9,0.0166015625,0.5,0.5166015625,1.0,0.660791015625,-0.0,0.0,0.02221989631652832,2.104111909866333,1.0345420837402344,2.4640440940856934
Predicting Variabilities in Cardiac Gene,False,15,2,1,0.06666666666666667,7,2.533333333333333,6,1.0,1.0,0.0,1,0.11299931263541937,0.23520710059171598,0.25961538461538464,1.0,0.07865754437869825,0.2500000000000009,0.15,0.10140800476074219,3.412726879119873,10.097423076629639,1.7565839290618896
Pro-inflammatory Tumor Microenvironment in Acute Lymphoblastic Leukemia,False,26,2,0,0.0,9,3.1153846153846154,6,1.6666666666666667,2.0,0.4714045207910317,2,0.06917418497345965,0.18780290791599355,0.25,1.0,0.0726575121163166,0.624394184168013,0.285,0.3832409381866455,10.649949073791504,47.98061800003052,5.494538068771362
Regulation of the L-arabinose operon of Escherichia coli,False,13,2,4,0.3076923076923077,3,1.3846153846153846,21,1.4761904761904763,1.0,1.051939144494025,4,0.024302750509858813,0.05555555555555555,0.07809983896940419,1.0,0.42290257648953294,0.07085346215777832,0.05,0.029953956604003906,7.930176019668579,5.082322835922241,0.9865758419036865
T cell differentiation,False,23,2,4,0.17391304347826086,5,1.4782608695652173,33,1.0,1.0,0.0,1,0.010670613923619492,0.032870122928915016,0.051576696953500804,0.9999999999999999,0.3977659005879209,0.03794762159269993,0.035,0.05556797981262207,20.202332973480225,200.19089198112488,4.315457105636597
T-LGL Survival Network 2011 Reduced Network,False,18,2,0,0.0,4,2.388888888888889,2,2.5,2.5,1.5,4,0.464776119402985,0.5,0.964776119402985,1.0,0.2681701492537313,0.035223880597014645,0.11,0.027837038040161133,2.58604097366333,0.9385628700256348,1.9594578742980957
Trichostrongylus retortaeformis,True,26,2,1,0.038461538461538464,5,2.230769230769231,7,1.2857142857142858,1.0,0.45175395145262565,2,0.1605036376587314,0.12096029547553093,0.47460757156048017,0.9999999999999999,0.22598030163127103,0.5253924284395177,0.19,0.06398487091064453,9.806151866912842,8.697778940200806,6.523303031921387
Body Segmentation in Drosophila 2013,True,17,2,3,0.17647058823529413,4,1.7058823529411764,9,1.1111111111111112,1.0,0.3142696805273545,2,0.04098537546668719,0.12197802197802197,0.14725274725274726,1.0,0.3373241758241761,0.12692307692307736,0.015,0.02880120277404785,5.755798101425171,3.5462019443511963,2.3223869800567627
Bordetella bronchiseptica,True,33,2,0,0.0,6,2.393939393939394,4,4.0,4.0,0.0,4,0.20752626401303353,0.20287384315635654,0.5565026790063322,1.0,0.3130443253774964,0.6393096148293615,0.125,0.10283899307250977,18.29365110397339,25.913328170776367,10.896771907806396
BT474 Breast Cell Line Short-term ErbB Network,True,16,2,5,0.3125,6,2.875,42,1.8571428571428572,2.0,0.6388765649999398,4,0.008515363792612649,0.022566995768688293,0.04231311706629055,0.9999999999999999,0.10704866008462624,0.3356840620590589,0.115,0.16129612922668457,53.81407880783081,135.77227687835693,2.241410970687866
Budding Yeast Cell Cycle 2009,True,18,2,0,0.0,6,3.2777777777777777,1,4.0,4.0,0.0,4,0.0,1.0,1.0,1.0,0.215,0,0.0,0.1177210807800293,3.3358638286590576,5.9604644775390625e-06,4.451820135116577
Cardiac development,True,15,2,1,0.06666666666666667,7,2.533333333333333,4,1.0,1.0,0.0,1,0.011470953406405377,0.24963976945244956,0.2665706051873199,1.0,0.10259005763688757,4.440892098500626e-16,0.15,0.10754108428955078,2.5441808700561523,7.834376811981201,1.9841711521148682
Cell Cycle Transcription by Coupled CDK and Network Oscillators,True,9,2,0,0.0,4,2.111111111111111,1,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.285,0,0.0,0.020301103591918945,0.4477841854095459,5.0067901611328125e-06,0.9527847766876221
Cholesterol Regulatory Pathway,True,34,2,0,0.0,3,1.2647058823529411,2,2.0,2.0,0.0,2,0.01410554264852304,0.5,0.514105542648523,1.0,0.65,1.0,0.105,0.02074408531188965,2.8957371711730957,0.6277549266815186,9.238563060760498
Cortical Area Development,True,5,2,0,0.0,4,2.8,1,2.0,2.0,0.0,2,0.0,1.0,1.0,1.0,0.37,0,0.0,0.01701211929321289,0.5289011001586914,5.9604644775390625e-06,0.5942099094390869
Death Receptor Signaling,True,28,2,3,0.10714285714285714,4,1.6071428571428572,15,1.2,1.0,0.4,2,0.0540598984858678,0.09302325581395349,0.1343669250645995,1.0,0.37047516508756795,0.3709445879988422,0.125,0.043808937072753906,16.009235858917236,27.977866888046265,6.441290855407715
Fanconi anemia and checkpoint recovery,True,15,2,0,0.0,8,4.4,2,3.0,3.0,1.0,4,0.4072727272727273,0.5,0.9072727272727272,1.0,0.07556363636363632,0.9072727272727272,0.15,0.2909998893737793,5.173676013946533,12.62347412109375,3.162726879119873
Toll Pathway of Drosophila Signaling Pathway,True,11,2,2,0.18181818181818182,2,1.0,4,1.0,1.0,0.0,1,0.018799863992436484,0.2492725509214355,0.2754607177497575,1.0,0.6752618816682837,-4.440892098500626e-16,0.0,0.011330127716064453,1.137631893157959,0.2969369888305664,0.9081230163574219
Iron acquisition and oxidative stress response in aspergillus fumigatus,True,22,2,2,0.09090909090909091,6,1.7272727272727273,6,1.6666666666666667,1.0,0.9428090415820634,3,0.08166441829155663,0.17900403768506057,0.2673844773441005,0.9999999999999999,0.25744952893674294,0.48900852400179495,0.065,0.061335086822509766,7.282908201217651,8.299023866653442,3.442880868911743
Lac Operon,True,13,2,3,0.23076923076923078,4,1.6923076923076923,12,2.3333333333333335,1.0,1.8856180831641267,5,0.045327424449788226,0.09300538047655649,0.13604919292851653,1.0,0.4166833205226746,0.2567255956956096,0.145,0.03165602684020996,8.813359022140503,5.991774082183838,1.392369031906128
Mammalian Cell Cycle,True,20,2,1,0.05,5,2.55,2,1.0,1.0,0.0,1,0.0022250476795931118,0.5,0.5022250476795931,1.0,0.17742212333121427,-0.0,0.0,0.06757307052612305,1.7641160488128662,2.188947916030884,2.780595064163208
Mammalian Cell Cycle 2006,True,10,2,0,0.0,6,3.5,5,3.6,2.0,1.9595917942265426,6,0.14481386359289689,0.16806722689075632,0.469187675070028,1.0,0.2415476190476191,0.9999999999999964,0.605,0.07755899429321289,8.491189002990723,22.038483142852783,1.3966279029846191
Neurotransmitter Signaling Pathway,True,16,2,0,0.0,3,1.375,2,4.0,4.0,0.0,4,0.0006999533364442367,0.5,0.5006999533364442,1.0,0.9224895006999533,1.0,0.175,0.01359105110168457,1.7961349487304688,0.36614513397216797,2.2206928730010986
Oxidative Stress Pathway,True,19,2,1,0.05263157894736842,4,1.6842105263157894,3,1.0,1.0,0.0,1,0.17783980924518566,0.36961780358006774,0.5307208514755685,1.0,0.41232704402515713,0.46927914852443164,0.08,0.023252010345458984,2.057252883911133,1.0234720706939697,2.805126190185547
Predicting Variabilities in Cardiac Gene,True,15,2,1,0.06666666666666667,7,2.533333333333333,4,1.25,1.0,0.4330127018922193,2,0.007937244427517512,0.250354609929078,0.25886524822695034,1.0,0.10620921985815604,-8.881784197001252e-16,0.17,0.10960698127746582,3.0656120777130127,7.81201696395874,2.06217098236084
Regulation of the L-arabinose operon of Escherichia coli,True,13,2,4,0.3076923076923077,3,1.3846153846153846,28,2.7142857142857144,1.0,2.4619554199448697,8,0.024475998588276485,0.030500342700479778,0.07333790267306374,1.0,0.4558910212474302,0.2570254451020446,0.14,0.04846620559692383,17.73385715484619,20.620678901672363,1.3280069828033447
T-Cell Signaling 2006,True,40,2,3,0.075,5,1.325,10,1.2,1.0,0.4,2,0.03901213539636092,0.11938253562294483,0.12641578370478626,1.0,0.44880252100840345,0.13518450858604147,0.04,0.05484604835510254,13.591440916061401,87.33270287513733,10.860568046569824
T-LGL Survival Network 2011 Reduced Network,True,18,2,0,0.0,4,2.388888888888889,2,2.5,2.5,1.5,4,0.40031347962382446,0.5,0.9003134796238245,1.0,0.3185203761755486,-0.0,0.045,0.031323909759521484,3.482637882232666,1.2738049030303955,2.741342067718506
Arabidopsis thaliana Cell Cycle,True,14,2,0,0.0,8,4.714285714285714,5,3.6,3.0,2.4166091947189146,8,0.2507493941298094,0.05366269165247019,0.6750425894378195,1.0,0.12590715502555358,0.9987223250829125,0.46,0.9218430519104004,32.829984188079834,270.77387499809265,11.800525903701782
B cell differentiation,True,22,2,5,0.22727272727272727,7,1.7727272727272727,42,1.8095238095238095,1.0,1.451404824202683,6,0.012025631182548168,0.02742616033755274,0.043037974683544304,1.0,0.18333755274261596,0.23544331078744563,0.09,0.17509198188781738,51.759706020355225,365.64157700538635,3.7133729457855225
Body Segmentation in Drosophila 2013,True,17,2,3,0.17647058823529413,4,1.7058823529411764,12,1.3333333333333333,1.0,0.4714045207910317,2,0.04155726324774398,0.09067882472137792,0.14893617021276595,1.0,0.4386448834853089,0.2269505001469483,0.1,0.028963088989257812,8.077911138534546,5.525593996047974,2.3227360248565674
Bordetella bronchiseptica,True,33,2,0,0.0,6,2.393939393939394,1,4.0,4.0,0.0,4,0.0,1.0,1.0,1.0,0.425,0,0.0,0.09925508499145508,4.388980865478516,5.9604644775390625e-06,10.082690000534058
Cardiac development,True,15,2,1,0.06666666666666667,7,2.533333333333333,2,2.0,2.0,0.0,2,0.023809523809523836,0.5,0.5238095238095238,1.0,0.2507142857142858,-0.0,0.0,0.10678815841674805,2.4476890563964844,3.2743330001831055,2.039937973022461
Cell Cycle Transcription by Coupled CDK and Network Oscillators,True,9,2,0,0.0,4,2.111111111111111,1,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.32,0,0.0,0.016281843185424805,0.39183998107910156,3.814697265625e-06,0.8255519866943359
