AP2, Clathrin, EGFR_EGFR_TGFa_CCP, EGFR_EGFR_TGFa_CCV, EGFR_EGFR_TGFa_PM, Eps15, Epsin, PIP2_45, Rab5, EGFR_EGFR_TGFa_CCP
0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 1, 0, 1, 0
0, 0, 0, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 0, 0, 1, 1, 1, 0
0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 1, 0, 0, 1, 0
0, 0, 0, 0, 0, 1, 0, 1, 0, 0
0, 0, 0, 0, 0, 1, 0, 1, 1, 0
0, 0, 0, 0, 0, 1, 1, 0, 0, 0
0, 0, 0, 0, 0, 1, 1, 0, 1, 0
0, 0, 0, 0, 0, 1, 1, 1, 0, 0
0, 0, 0, 0, 0, 1, 1, 1, 1, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 0, 1, 0
0, 0, 0, 0, 1, 0, 0, 1, 0, 0
0, 0, 0, 0, 1, 0, 0, 1, 1, 0
0, 0, 0, 0, 1, 0, 1, 0, 0, 0
0, 0, 0, 0, 1, 0, 1, 0, 1, 0
0, 0, 0, 0, 1, 0, 1, 1, 0, 0
0, 0, 0, 0, 1, 0, 1, 1, 1, 0
0, 0, 0, 0, 1, 1, 0, 0, 0, 0
0, 0, 0, 0, 1, 1, 0, 0, 1, 0
0, 0, 0, 0, 1, 1, 0, 1, 0, 0
0, 0, 0, 0, 1, 1, 0, 1, 1, 0
0, 0, 0, 0, 1, 1, 1, 0, 0, 0
0, 0, 0, 0, 1, 1, 1, 0, 1, 0
0, 0, 0, 0, 1, 1, 1, 1, 0, 0
0, 0, 0, 0, 1, 1, 1, 1, 1, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 0, 1, 0, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 0, 0, 1, 0, 0
0, 0, 0, 1, 0, 0, 0, 1, 1, 0
0, 0, 0, 1, 0, 0, 1, 0, 0, 0
0, 0, 0, 1, 0, 0, 1, 0, 1, 0
0, 0, 0, 1, 0, 0, 1, 1, 0, 0
0, 0, 0, 1, 0, 0, 1, 1, 1, 0
0, 0, 0, 1, 0, 1, 0, 0, 0, 0
0, 0, 0, 1, 0, 1, 0, 0, 1, 0
0, 0, 0, 1, 0, 1, 0, 1, 0, 0
0, 0, 0, 1, 0, 1, 0, 1, 1, 0
0, 0, 0, 1, 0, 1, 1, 0, 0, 0
0, 0, 0, 1, 0, 1, 1, 0, 1, 0
0, 0, 0, 1, 0, 1, 1, 1, 0, 0
0, 0, 0, 1, 0, 1, 1, 1, 1, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 0, 1, 0
0, 0, 0, 1, 1, 0, 0, 1, 0, 0
0, 0, 0, 1, 1, 0, 0, 1, 1, 0
0, 0, 0, 1, 1, 0, 1, 0, 0, 0
0, 0, 0, 1, 1, 0, 1, 0, 1, 0
0, 0, 0, 1, 1, 0, 1, 1, 0, 0
0, 0, 0, 1, 1, 0, 1, 1, 1, 0
0, 0, 0, 1, 1, 1, 0, 0, 0, 0
0, 0, 0, 1, 1, 1, 0, 0, 1, 0
0, 0, 0, 1, 1, 1, 0, 1, 0, 0
0, 0, 0, 1, 1, 1, 0, 1, 1, 0
0, 0, 0, 1, 1, 1, 1, 0, 0, 0
0, 0, 0, 1, 1, 1, 1, 0, 1, 0
0, 0, 0, 1, 1, 1, 1, 1, 0, 0
0, 0, 0, 1, 1, 1, 1, 1, 1, 0
0, 0, 1, 0, 0, 0, 0, 0, 0, 1
0, 0, 1, 0, 0, 0, 0, 0, 1, 1
0, 0, 1, 0, 0, 0, 0, 1, 0, 1
0, 0, 1, 0, 0, 0, 0, 1, 1, 1
0, 0, 1, 0, 0, 0, 1, 0, 0, 1
0, 0, 1, 0, 0, 0, 1, 0, 1, 1
0, 0, 1, 0, 0, 0, 1, 1, 0, 1
0, 0, 1, 0, 0, 0, 1, 1, 1, 1
0, 0, 1, 0, 0, 1, 0, 0, 0, 1
0, 0, 1, 0, 0, 1, 0, 0, 1, 1
0, 0, 1, 0, 0, 1, 0, 1, 0, 1
0, 0, 1, 0, 0, 1, 0, 1, 1, 1
0, 0, 1, 0, 0, 1, 1, 0, 0, 1
0, 0, 1, 0, 0, 1, 1, 0, 1, 1
0, 0, 1, 0, 0, 1, 1, 1, 0, 1
0, 0, 1, 0, 0, 1, 1, 1, 1, 1
0, 0, 1, 0, 1, 0, 0, 0, 0, 1
0, 0, 1, 0, 1, 0, 0, 0, 1, 1
0, 0, 1, 0, 1, 0, 0, 1, 0, 1
0, 0, 1, 0, 1, 0, 0, 1, 1, 1
0, 0, 1, 0, 1, 0, 1, 0, 0, 1
0, 0, 1, 0, 1, 0, 1, 0, 1, 1
0, 0, 1, 0, 1, 0, 1, 1, 0, 1
0, 0, 1, 0, 1, 0, 1, 1, 1, 1
0, 0, 1, 0, 1, 1, 0, 0, 0, 1
0, 0, 1, 0, 1, 1, 0, 0, 1, 1
0, 0, 1, 0, 1, 1, 0, 1, 0, 1
0, 0, 1, 0, 1, 1, 0, 1, 1, 1
0, 0, 1, 0, 1, 1, 1, 0, 0, 1
0, 0, 1, 0, 1, 1, 1, 0, 1, 1
0, 0, 1, 0, 1, 1, 1, 1, 0, 1
0, 0, 1, 0, 1, 1, 1, 1, 1, 1
0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 0, 0, 1, 0
0, 0, 1, 1, 0, 0, 0, 1, 0, 0
0, 0, 1, 1, 0, 0, 0, 1, 1, 0
0, 0, 1, 1, 0, 0, 1, 0, 0, 0
0, 0, 1, 1, 0, 0, 1, 0, 1, 0
0, 0, 1, 1, 0, 0, 1, 1, 0, 0
