B_Arrestin, Cas, Csk, EGFR_Y1086, EGFR_Y1148, EGFR_Y992, Fak, Gai, Gas, PTP1b, PTPa, Src, alpha_sR, Src
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1
