GAB2, GRAP2_GADS, LCK, ZAP70, gp120, LCP2_SLP76
0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 0
0, 0, 0, 1, 1, 0
0, 0, 1, 0, 0, 0
0, 0, 1, 0, 1, 1
0, 0, 1, 1, 0, 0
0, 0, 1, 1, 1, 1
0, 1, 0, 0, 0, 0
0, 1, 0, 0, 1, 0
0, 1, 0, 1, 0, 1
0, 1, 0, 1, 1, 1
0, 1, 1, 0, 0, 0
0, 1, 1, 0, 1, 1
0, 1, 1, 1, 0, 1
0, 1, 1, 1, 1, 1
1, 0, 0, 0, 0, 0
1, 0, 0, 0, 1, 0
1, 0, 0, 1, 0, 0
1, 0, 0, 1, 1, 0
1, 0, 1, 0, 0, 0
1, 0, 1, 0, 1, 1
1, 0, 1, 1, 0, 0
1, 0, 1, 1, 1, 1
1, 1, 0, 0, 0, 0
1, 1, 0, 0, 1, 0
1, 1, 0, 1, 0, 1
1, 1, 0, 1, 1, 1
1, 1, 1, 0, 0, 0
1, 1, 1, 0, 1, 1
1, 1, 1, 1, 0, 1
1, 1, 1, 1, 1, 1
