CBL, FYN, LCK, PTPN6_SHP1, antigen, capsid, gp41, nucleocapsid, TCR
0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 1
0, 0, 0, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 0, 0, 1, 1, 1
0, 0, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 1, 0, 1, 1
0, 0, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 0, 0, 1, 1, 1, 1
0, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 0, 1, 0, 0, 1, 1
0, 0, 0, 0, 1, 0, 1, 0, 1
0, 0, 0, 0, 1, 0, 1, 1, 1
0, 0, 0, 0, 1, 1, 0, 0, 1
0, 0, 0, 0, 1, 1, 0, 1, 1
0, 0, 0, 0, 1, 1, 1, 0, 1
0, 0, 0, 0, 1, 1, 1, 1, 1
0, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 1, 0, 0, 0, 1, 1
0, 0, 0, 1, 0, 0, 1, 0, 0
0, 0, 0, 1, 0, 0, 1, 1, 1
0, 0, 0, 1, 0, 1, 0, 0, 0
0, 0, 0, 1, 0, 1, 0, 1, 1
0, 0, 0, 1, 0, 1, 1, 0, 0
0, 0, 0, 1, 0, 1, 1, 1, 1
0, 0, 0, 1, 1, 0, 0, 0, 1
0, 0, 0, 1, 1, 0, 0, 1, 1
0, 0, 0, 1, 1, 0, 1, 0, 1
0, 0, 0, 1, 1, 0, 1, 1, 1
0, 0, 0, 1, 1, 1, 0, 0, 1
0, 0, 0, 1, 1, 1, 0, 1, 1
0, 0, 0, 1, 1, 1, 1, 0, 1
0, 0, 0, 1, 1, 1, 1, 1, 1
0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 0, 1, 1
0, 0, 1, 0, 0, 0, 1, 0, 0
0, 0, 1, 0, 0, 0, 1, 1, 1
0, 0, 1, 0, 0, 1, 0, 0, 0
0, 0, 1, 0, 0, 1, 0, 1, 1
0, 0, 1, 0, 0, 1, 1, 0, 0
0, 0, 1, 0, 0, 1, 1, 1, 1
0, 0, 1, 0, 1, 0, 0, 0, 1
0, 0, 1, 0, 1, 0, 0, 1, 1
0, 0, 1, 0, 1, 0, 1, 0, 1
0, 0, 1, 0, 1, 0, 1, 1, 1
0, 0, 1, 0, 1, 1, 0, 0, 1
0, 0, 1, 0, 1, 1, 0, 1, 1
0, 0, 1, 0, 1, 1, 1, 0, 1
0, 0, 1, 0, 1, 1, 1, 1, 1
0, 0, 1, 1, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 0, 1, 1
0, 0, 1, 1, 0, 0, 1, 0, 0
0, 0, 1, 1, 0, 0, 1, 1, 1
0, 0, 1, 1, 0, 1, 0, 0, 0
0, 0, 1, 1, 0, 1, 0, 1, 1
0, 0, 1, 1, 0, 1, 1, 0, 0
0, 0, 1, 1, 0, 1, 1, 1, 1
0, 0, 1, 1, 1, 0, 0, 0, 1
0, 0, 1, 1, 1, 0, 0, 1, 1
0, 0, 1, 1, 1, 0, 1, 0, 1
0, 0, 1, 1, 1, 0, 1, 1, 1
0, 0, 1, 1, 1, 1, 0, 0, 1
0, 0, 1, 1, 1, 1, 0, 1, 1
0, 0, 1, 1, 1, 1, 1, 0, 1
0, 0, 1, 1, 1, 1, 1, 1, 1
0, 1, 0, 0, 0, 0, 0, 0, 0
0, 1, 0, 0, 0, 0, 0, 1, 1
0, 1, 0, 0, 0, 0, 1, 0, 0
0, 1, 0, 0, 0, 0, 1, 1, 1
0, 1, 0, 0, 0, 1, 0, 0, 0
0, 1, 0, 0, 0, 1, 0, 1, 1
0, 1, 0, 0, 0, 1, 1, 0, 0
0, 1, 0, 0, 0, 1, 1, 1, 1
0, 1, 0, 0, 1, 0, 0, 0, 1
0, 1, 0, 0, 1, 0, 0, 1, 1
0, 1, 0, 0, 1, 0, 1, 0, 1
0, 1, 0, 0, 1, 0, 1, 1, 1
0, 1, 0, 0, 1, 1, 0, 0, 1
0, 1, 0, 0, 1, 1, 0, 1, 1
0, 1, 0, 0, 1, 1, 1, 0, 1
0, 1, 0, 0, 1, 1, 1, 1, 1
0, 1, 0, 1, 0, 0, 0, 0, 0
0, 1, 0, 1, 0, 0, 0, 1, 1
0, 1, 0, 1, 0, 0, 1, 0, 0
0, 1, 0, 1, 0, 0, 1, 1, 1
0, 1, 0, 1, 0, 1, 0, 0, 0
0, 1, 0, 1, 0, 1, 0, 1, 1
0, 1, 0, 1, 0, 1, 1, 0, 0
0, 1, 0, 1, 0, 1, 1, 1, 1
0, 1, 0, 1, 1, 0, 0, 0, 1
0, 1, 0, 1, 1, 0, 0, 1, 1
0, 1, 0, 1, 1, 0, 1, 0, 1
0, 1, 0, 1, 1, 0, 1, 1, 1
0, 1, 0, 1, 1, 1, 0, 0, 1
0, 1, 0, 1, 1, 1, 0, 1, 1
0, 1, 0, 1, 1, 1, 1, 0, 1
0, 1, 0, 1, 1, 1, 1, 1, 1
0, 1, 1, 0, 0, 0, 0, 0, 1
0, 1, 1, 0, 0, 0, 0, 1, 1
0, 1, 1, 0, 0, 0, 1, 0, 1
0, 1, 1, 0, 0, 0, 1, 1, 1
0, 1, 1, 0, 0, 1, 0, 0, 1
0, 1, 1, 0, 0, 1, 0, 1, 1
0, 1, 1, 0, 0, 1, 1, 0, 1
0, 1, 1, 0, 0, 1, 1, 1, 1
0, 1, 1, 0, 1, 0, 0, 0, 1
0, 1, 1, 0, 1, 0, 0, 1, 1
0, 1, 1, 0, 1, 0, 1, 0, 1
0, 1, 1, 0, 1, 0, 1, 1, 1
0, 1, 1, 0, 1, 1, 0, 0, 1
0, 1, 1, 0, 1, 1, 0, 1, 1
0, 1, 1, 0, 1, 1, 1, 0, 1
0, 1, 1, 0, 1, 1, 1, 1, 1
0, 1, 1, 1, 0, 0, 0, 0, 1
0, 1, 1, 1, 0, 0, 0, 1, 1
0, 1, 1, 1, 0, 0, 1, 0, 1
0, 1, 1, 1, 0, 0, 1, 1, 1
0, 1, 1, 1, 0, 1, 0, 0, 1
0, 1, 1, 1, 0, 1, 0, 1, 1
0, 1, 1, 1, 0, 1, 1, 0, 1
0, 1, 1, 1, 0, 1, 1, 1, 1
0, 1, 1, 1, 1, 0, 0, 0, 1
0, 1, 1, 1, 1, 0, 0, 1, 1
0, 1, 1, 1, 1, 0, 1, 0, 1
0, 1, 1, 1, 1, 0, 1, 1, 1
0, 1, 1, 1, 1, 1, 0, 0, 1
0, 1, 1, 1, 1, 1, 0, 1, 1
0, 1, 1, 1, 1, 1, 1, 0, 1
0, 1, 1, 1, 1, 1, 1, 1, 1
1, 0, 0, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 0, 0, 1, 1
1, 0, 0, 0, 0, 0, 1, 0, 0
1, 0, 0, 0, 0, 0, 1, 1, 1
1, 0, 0, 0, 0, 1, 0, 0, 0
1, 0, 0, 0, 0, 1, 0, 1, 1
1, 0, 0, 0, 0, 1, 1, 0, 0
1, 0, 0, 0, 0, 1, 1, 1, 1
1, 0, 0, 0, 1, 0, 0, 0, 1
1, 0, 0, 0, 1, 0, 0, 1, 1
1, 0, 0, 0, 1, 0, 1, 0, 1
1, 0, 0, 0, 1, 0, 1, 1, 1
1, 0, 0, 0, 1, 1, 0, 0, 1
1, 0, 0, 0, 1, 1, 0, 1, 1
1, 0, 0, 0, 1, 1, 1, 0, 1
1, 0, 0, 0, 1, 1, 1, 1, 1
1, 0, 0, 1, 0, 0, 0, 0, 0
1, 0, 0, 1, 0, 0, 0, 1, 1
1, 0, 0, 1, 0, 0, 1, 0, 0
1, 0, 0, 1, 0, 0, 1, 1, 1
1, 0, 0, 1, 0, 1, 0, 0, 0
1, 0, 0, 1, 0, 1, 0, 1, 1
1, 0, 0, 1, 0, 1, 1, 0, 0
1, 0, 0, 1, 0, 1, 1, 1, 1
1, 0, 0, 1, 1, 0, 0, 0, 1
1, 0, 0, 1, 1, 0, 0, 1, 1
1, 0, 0, 1, 1, 0, 1, 0, 1
1, 0, 0, 1, 1, 0, 1, 1, 1
1, 0, 0, 1, 1, 1, 0, 0, 1
1, 0, 0, 1, 1, 1, 0, 1, 1
1, 0, 0, 1, 1, 1, 1, 0, 1
1, 0, 0, 1, 1, 1, 1, 1, 1
1, 0, 1, 0, 0, 0, 0, 0, 0
1, 0, 1, 0, 0, 0, 0, 1, 1
1, 0, 1, 0, 0, 0, 1, 0, 0
1, 0, 1, 0, 0, 0, 1, 1, 1
1, 0, 1, 0, 0, 1, 0, 0, 0
1, 0, 1, 0, 0, 1, 0, 1, 1
1, 0, 1, 0, 0, 1, 1, 0, 0
1, 0, 1, 0, 0, 1, 1, 1, 1
1, 0, 1, 0, 1, 0, 0, 0, 1
1, 0, 1, 0, 1, 0, 0, 1, 1
1, 0, 1, 0, 1, 0, 1, 0, 1
1, 0, 1, 0, 1, 0, 1, 1, 1
1, 0, 1, 0, 1, 1, 0, 0, 1
1, 0, 1, 0, 1, 1, 0, 1, 1
1, 0, 1, 0, 1, 1, 1, 0, 1
1, 0, 1, 0, 1, 1, 1, 1, 1
1, 0, 1, 1, 0, 0, 0, 0, 0
1, 0, 1, 1, 0, 0, 0, 1, 1
1, 0, 1, 1, 0, 0, 1, 0, 0
1, 0, 1, 1, 0, 0, 1, 1, 1
1, 0, 1, 1, 0, 1, 0, 0, 0
1, 0, 1, 1, 0, 1, 0, 1, 1
1, 0, 1, 1, 0, 1, 1, 0, 0
1, 0, 1, 1, 0, 1, 1, 1, 1
1, 0, 1, 1, 1, 0, 0, 0, 1
1, 0, 1, 1, 1, 0, 0, 1, 1
1, 0, 1, 1, 1, 0, 1, 0, 1
1, 0, 1, 1, 1, 0, 1, 1, 1
1, 0, 1, 1, 1, 1, 0, 0, 1
1, 0, 1, 1, 1, 1, 0, 1, 1
1, 0, 1, 1, 1, 1, 1, 0, 1
1, 0, 1, 1, 1, 1, 1, 1, 1
1, 1, 0, 0, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 0, 0, 1, 1
1, 1, 0, 0, 0, 0, 1, 0, 0
1, 1, 0, 0, 0, 0, 1, 1, 1
1, 1, 0, 0, 0, 1, 0, 0, 0
1, 1, 0, 0, 0, 1, 0, 1, 1
1, 1, 0, 0, 0, 1, 1, 0, 0
1, 1, 0, 0, 0, 1, 1, 1, 1
1, 1, 0, 0, 1, 0, 0, 0, 1
1, 1, 0, 0, 1, 0, 0, 1, 1
1, 1, 0, 0, 1, 0, 1, 0, 1
1, 1, 0, 0, 1, 0, 1, 1, 1
1, 1, 0, 0, 1, 1, 0, 0, 1
1, 1, 0, 0, 1, 1, 0, 1, 1
1, 1, 0, 0, 1, 1, 1, 0, 1
1, 1, 0, 0, 1, 1, 1, 1, 1
1, 1, 0, 1, 0, 0, 0, 0, 0
1, 1, 0, 1, 0, 0, 0, 1, 1
1, 1, 0, 1, 0, 0, 1, 0, 0
1, 1, 0, 1, 0, 0, 1, 1, 1
1, 1, 0, 1, 0, 1, 0, 0, 0
1, 1, 0, 1, 0, 1, 0, 1, 1
1, 1, 0, 1, 0, 1, 1, 0, 0
1, 1, 0, 1, 0, 1, 1, 1, 1
1, 1, 0, 1, 1, 0, 0, 0, 1
1, 1, 0, 1, 1, 0, 0, 1, 1
1, 1, 0, 1, 1, 0, 1, 0, 1
1, 1, 0, 1, 1, 0, 1, 1, 1
1, 1, 0, 1, 1, 1, 0, 0, 1
1, 1, 0, 1, 1, 1, 0, 1, 1
1, 1, 0, 1, 1, 1, 1, 0, 1
1, 1, 0, 1, 1, 1, 1, 1, 1
1, 1, 1, 0, 0, 0, 0, 0, 1
1, 1, 1, 0, 0, 0, 0, 1, 1
1, 1, 1, 0, 0, 0, 1, 0, 1
1, 1, 1, 0, 0, 0, 1, 1, 1
1, 1, 1, 0, 0, 1, 0, 0, 1
1, 1, 1, 0, 0, 1, 0, 1, 1
1, 1, 1, 0, 0, 1, 1, 0, 1
1, 1, 1, 0, 0, 1, 1, 1, 1
1, 1, 1, 0, 1, 0, 0, 0, 1
1, 1, 1, 0, 1, 0, 0, 1, 1
1, 1, 1, 0, 1, 0, 1, 0, 1
1, 1, 1, 0, 1, 0, 1, 1, 1
1, 1, 1, 0, 1, 1, 0, 0, 1
1, 1, 1, 0, 1, 1, 0, 1, 1
1, 1, 1, 0, 1, 1, 1, 0, 1
1, 1, 1, 0, 1, 1, 1, 1, 1
1, 1, 1, 1, 0, 0, 0, 0, 1
1, 1, 1, 1, 0, 0, 0, 1, 1
1, 1, 1, 1, 0, 0, 1, 0, 1
1, 1, 1, 1, 0, 0, 1, 1, 1
1, 1, 1, 1, 0, 1, 0, 0, 1
1, 1, 1, 1, 0, 1, 0, 1, 1
1, 1, 1, 1, 0, 1, 1, 0, 1
1, 1, 1, 1, 0, 1, 1, 1, 1
1, 1, 1, 1, 1, 0, 0, 0, 1
1, 1, 1, 1, 1, 0, 0, 1, 1
1, 1, 1, 1, 1, 0, 1, 0, 1
1, 1, 1, 1, 1, 0, 1, 1, 1
1, 1, 1, 1, 1, 1, 0, 0, 1
1, 1, 1, 1, 1, 1, 0, 1, 1
1, 1, 1, 1, 1, 1, 1, 0, 1
1, 1, 1, 1, 1, 1, 1, 1, 1
