CBX2, CTNNB1, FGF9, FOXL2, GATA4, NR5A1, PGD2, SOX9, SRY, WNT4, SOX9
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1
0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1
0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1
0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0
0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1
0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1
0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0
0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0
0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0
0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1
0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0
0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1
0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0
0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1
0, 0, 0, 0, 0, 1, 1, 0, 1, 1, 0
0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1
0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0
0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1
0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1
0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0
0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0
0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1
0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1
0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0
0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1
0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0
0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1
0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0
0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1
0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0
0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0
0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1
0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0
0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0
0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0
0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1
0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0
0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1
0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0
0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1
0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 0
0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1
0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0
0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1
0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0
0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0
0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0
0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0
0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0
0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0
0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0
0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0
0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0
0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0
0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0
0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0
0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0
0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0
0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0
0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0
0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0
0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0
0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0
0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0
0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0
0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 0
0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0
0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0
0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0
0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0
0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0
0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0
0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0
0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0
0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0
0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0
0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 0
0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0
0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0
0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0
0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 0
0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0
0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0
0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0
0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0
0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0
0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0
0, 0, 0, 1, 1, 1, 0, 1, 1, 0, 0
0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0
0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0
0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0
0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0
0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0
0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0
0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 0
0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1
0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0
0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1
0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0
0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1
0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0
0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1
0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0
0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1
0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0
0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1
0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0
0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1
0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0
0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0
0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1
0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0
0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1
0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0
0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1
0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0
0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1
0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0
0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1
0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0
0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1
0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0
0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1
0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0
0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1
0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0
0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1
0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0
0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 1
0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0
0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1
0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0
0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1
0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0
0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1
0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0
0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1
0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0
0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0
0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0
0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1
0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0
0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 1
0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0
0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1
0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0
0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 1
0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0
0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1
0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0
0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 1
0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0
0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1
0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0
0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0
