1	IL27R
2	CD8
3	EOMES
4	TGFbR
5	ThPOK
6	ERK
7	CD4
8	IL6R
9	SMAD2
10	TGFb
11	Runx1
12	Irf4
13	Helios
14	CD19
15	IFNgR
16	STAT5
17	Bcl11b
18	TCF1
19	Gzmb
20	IL4
21	SOCS1
22	Foxp3
23	IFNbR
24	NFAT
25	IL21R
26	AKT
27	IL12R
28	SMAD3
29	IL10
30	IFNg
31	IL2R
32	IL7R
33	RORgt
34	STAT6
35	PU1
36	Bcl2
37	Bcl6
38	NFkB
39	JAK3
40	IL4R
41	STAT1
42	IRAK
43	Bach2
44	IL23R
45	Blimp1
46	Tbet
47	STAT4
48	XBP1
49	IL6
50	IL17
51	Ikaros
52	Flt3
53	STAT3
54	Ebf1
55	FR4
56	JAK1
57	Notch1
58	Prf1
59	Runx3
60	TNFa
61	Pax5
62	IL10R
63	IL18R
64	GATA3
65	HEB
66	Gfi1
67	TNFR2
1000001	IL23
1000002	Dll1
1000003	IFNb
1000004	BCR
1000005	IL12
1000006	TCR
1000007	B9
1000008	IL27
1000009	IL21
1000010	IL18
1000011	Flt3L
1000012	IL7
1000013	IL2
1000014	Hoxa9
