Apoptosome, BIRC2, BIRC4cytoplasm, CASP4, CASP8, ProCASP3, CASP3cytoplasm
0, 0, 0, 0, 0, 0, 0
0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 1, 0, 0
0, 0, 0, 0, 1, 1, 1
0, 0, 0, 1, 0, 0, 0
0, 0, 0, 1, 0, 1, 1
0, 0, 0, 1, 1, 0, 0
0, 0, 0, 1, 1, 1, 1
0, 0, 1, 0, 0, 0, 0
0, 0, 1, 0, 0, 1, 0
0, 0, 1, 0, 1, 0, 0
0, 0, 1, 0, 1, 1, 1
0, 0, 1, 1, 0, 0, 0
0, 0, 1, 1, 0, 1, 1
0, 0, 1, 1, 1, 0, 0
0, 0, 1, 1, 1, 1, 1
0, 1, 0, 0, 0, 0, 0
0, 1, 0, 0, 0, 1, 0
0, 1, 0, 0, 1, 0, 0
0, 1, 0, 0, 1, 1, 1
0, 1, 0, 1, 0, 0, 0
0, 1, 0, 1, 0, 1, 1
0, 1, 0, 1, 1, 0, 0
0, 1, 0, 1, 1, 1, 1
0, 1, 1, 0, 0, 0, 0
0, 1, 1, 0, 0, 1, 0
0, 1, 1, 0, 1, 0, 0
0, 1, 1, 0, 1, 1, 1
0, 1, 1, 1, 0, 0, 0
0, 1, 1, 1, 0, 1, 1
0, 1, 1, 1, 1, 0, 0
0, 1, 1, 1, 1, 1, 1
1, 0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 1, 1
1, 0, 0, 0, 1, 0, 0
1, 0, 0, 0, 1, 1, 1
1, 0, 0, 1, 0, 0, 0
1, 0, 0, 1, 0, 1, 1
1, 0, 0, 1, 1, 0, 0
1, 0, 0, 1, 1, 1, 1
1, 0, 1, 0, 0, 0, 0
1, 0, 1, 0, 0, 1, 1
1, 0, 1, 0, 1, 0, 0
1, 0, 1, 0, 1, 1, 1
1, 0, 1, 1, 0, 0, 0
1, 0, 1, 1, 0, 1, 1
1, 0, 1, 1, 1, 0, 0
1, 0, 1, 1, 1, 1, 1
1, 1, 0, 0, 0, 0, 0
1, 1, 0, 0, 0, 1, 1
1, 1, 0, 0, 1, 0, 0
1, 1, 0, 0, 1, 1, 1
1, 1, 0, 1, 0, 0, 0
1, 1, 0, 1, 0, 1, 1
1, 1, 0, 1, 1, 0, 0
1, 1, 0, 1, 1, 1, 1
1, 1, 1, 0, 0, 0, 0
1, 1, 1, 0, 0, 1, 1
1, 1, 1, 0, 1, 0, 0
1, 1, 1, 0, 1, 1, 1
1, 1, 1, 1, 0, 0, 0
1, 1, 1, 1, 0, 1, 1
1, 1, 1, 1, 1, 0, 0
1, 1, 1, 1, 1, 1, 1
