1	NDI1
2	SVF1
3	SRO7
4	Apoptosis
5	TOR1
6	STM1-NUC
7	ESP1
8	DesCyclinCCDK8
9	HOS3
10	MCD1-NUC
11	FIS1
12	AdenylateCyclase
13	NMA111-NUC
14	CytC-CYT
15	HOG1
16	YCA1
17	DNA-Frag
18	RLM1
19	STE20-NUC
20	KAP123
21	STM1-CYT
22	NUC1-NUC
23	RPD3
24	NUC1-MT
25	PTP2
26	NMA111-CYT
27	ROS-CYT
28	FVY10
29	MEC1
30	SDP1
31	MDV1
32	Protosom
33	EMC4
34	ROS-MT
35	MAPK
36	PKA
37	BIR1
38	SLT2
39	Tat-D
40	SOD1
41	CDC48
42	POR1-2
43	CAMP
44	MCD1-MT
45	DRE2_TAH18
46	PTP3
47	MT-ALT
48	HOG1-Dep
49	MSN2-4
50	MMI1
51	SOD2
52	SNO1
53	CytC-MT
54	AIF1-NUC
55	STE20-CYT
56	H2B
57	RAS2
58	MT-Frag
59	CDC6
60	AIF1-MT
1000001	AceticAcid
1000002	H2O2
1000003	Mating
1000004	Heat
1000005	Stress
1000006	RedActinDyn
1000007	AbnormalTelomer
1000008	Salt
1000009	CU2
1000010	CPR3
1000011	HK
1000012	MG2
1000013	Adozelesin
