graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_scores,stochastic_model_impact_scores,optimization_model_addition_impact_scores,stochastic_model_addition_impact_scores,optimization_state_impact_scores,stochastic_state_impact_scores,optimization_model_time,stochastic_model_time,optimization_model_addition_time,stochastic_model_addition_time,optimization_state_time,stochastic_state_time
Arabidopsis thaliana Cell Cycle,False,14,1,0,0.0,8,4.714285714285714,1,8.0,8.0,0.0,8,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.15, 1.0, 0.15, 0.58, 0.45, 0.01, 0.06, 1.0, 0.43, 0.27, 0.3, 0.05, 0.17, 0.17]","[0.03333333333333333, 0.03333333333333333, -0.0, -0.0, 0.03333333333333333, -0.0, 0.03333333333333333, -0.0, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, -0.0, -0.0, 0.03333333333333333]","[0.17, 1.28, 0.14, 0.64, 0.44, 0.01, 0.19, 1.0, 0.8, 0.23, 0.58, 0.03, 0.25, 0.27]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",19.944679021835327,11687.040397167206,418.1482298374176,11769.419085025787,2.3126602172851562e-05,23.673709869384766
Body Segmentation in Drosophila 2013,False,17,1,3,0.17647058823529413,4,1.7058823529411764,10,1.0,1.0,0.0,1,0.045375957053235334,0.11812943262411348,0.13829787234042554,"[0.511968085106383, 0.7632978723404256, 0.7579787234042554, 0.9773936170212767, 0.7632978723404256, 0.7632978723404256, 0.7632978723404256, 1.0, 1.0, 0.46542553191489366, 0.7562056737588652, 0.7300531914893618, 0.7632978723404256, 0.5820035460992908, nan, nan, nan]","[0.16698138297872345, 0.48448581560283693, 0.04612588652482269, 0.22857712765957452, 0.4738120567375889, 0.5000000000000001, 0.18901595744680857, 0.23349290780141857, 0.13079343971631213, 0.26610372340425537, 0.2505851063829787, 0.48195035460992924, 0.5210992907801419, 0.19084663120567386, nan, nan, nan]","[0.16666666666666669, 0.23333333333333334, 0.1, 0.13333333333333333, 0.5, 0.5, 0.16666666666666669, 0.13333333333333333, 0.26666666666666666, 0.13333333333333333, 0.2, 0.23333333333333334, 0.5, 0.13333333333333333, nan, nan, nan]","[0.35800000000000237, 0.4790000000000041, 0.09399999999999982, 0.2040000000000002, 0.858999999999994, 0.9139999999999908, 0.30700000000000166, 0.23800000000000068, 0.1699999999999997, 0.23500000000000065, 0.4140000000000032, 0.46100000000000385, 0.92699999999999, 0.24900000000000083, nan, nan, nan]","[0.0, 0.0, 0.12721631205673758, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1201241134751773, nan, nan, nan]","[0.0, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03, 0.0, 0.0, 0.0, 0.0, 0.09, nan, nan, nan]",0.48886799812316895,8672.56527686119,735.6167249679565,8175.689383029938,69.57443904876709,12.165843963623047
BT474 Breast Cell Line Short-term ErbB Network,False,16,1,5,0.3125,6,2.875,84,1.0,1.0,0.0,1,0.012065020215151094,0.002377179080824089,0.03645007923930269,"[0.7496038034865294, 0.5301109350237718, 0.6061806656101427, 0.6410459587955627, 0.9564183835182251, 0.6410459587955627, 0.6521394611727416, 0.27020602218700474, 0.6980982567353408, 0.3367670364500792, 0.988906497622821, nan, nan, nan, nan, nan]","[0.0961172741679857, 0.15209984152139241, 0.06566561014262941, 0.1166719492868447, 0.3109825673534012, 0.0957448494453235, 0.08463549920760553, 0.11748811410459417, 0.10748019017432502, 0.07973851030110804, 0.09152139461172604, nan, nan, nan, nan, nan]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, nan, nan, nan, nan, nan]","[0.4546428571428433, 0.5014285714285469, 0.3653571428571493, 0.45416666666665295, 0.5723809523809118, 0.3761904761904802, 0.385000000000002, 0.45154761904760593, 0.3859523809523827, 0.4190476190476133, 0.4236904761904694, nan, nan, nan, nan, nan]","[0.0, 0.0, 0.07923930269413626, 0.33518225039619653, 0.0071315372424722665, 0.026148969889064975, 0.06259904912836765, 0.0, 0.21711568938193343, 0.17194928684627578, 0.0, nan, nan, nan, nan, nan]","[0.0, 0.0, 0.09, 0.72, 0.03, 0.03, 0.07, 0.0, 0.21, 0.4, 0.01, nan, nan, nan, nan, nan]",6.340328931808472,5771.232514858246,305.78828716278076,6006.450349807739,2245.461112976074,11.265197038650513
Cardiac development,False,15,1,1,0.06666666666666667,7,2.533333333333333,6,1.0,1.0,0.0,1,0.11634520789035424,0.235096870342772,0.26825633383010433,"[0.5007451564828614, 0.5007451564828614, 0.5007451564828614, 0.7630402384500745, 0.5089418777943369, 0.5007451564828614, 0.7690014903129658, 0.5007451564828614, 0.26974664679582716, 0.739940387481371, 0.5089418777943368, 0.4947839046199702, 0.5007451564828614, 0.739940387481371, nan]","[0.5000298062593139, 0.5000894187779426, 0.5001937406855435, 0.018390461997019377, 0.1241952309985096, 0.21070044709388935, 0.12023845007451557, 0.050953800298062596, 0.005372578241430702, 0.2522429210134125, 0.49906110283159416, 0.11707898658718324, 0.500253353204172, 0.25068554396423226, nan]","[0.1, 0.13333333333333333, -0.0, 0.03333333333333333, 0.1, 0.1, 0.13333333333333333, 0.13333333333333333, 0.03333333333333333, 0.03333333333333333, 0.1, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, nan]","[0.4999999999999983, 0.4766666666666653, 0.0, 0.013333333333333332, 0.11333333333333327, 0.22000000000000017, 0.13833333333333317, 0.03999999999999998, 0.011666666666666665, 0.16666666666666646, 0.4916666666666651, 0.1033333333333333, 0.48333333333333184, 0.24000000000000032, nan]","[0.0, 0.0, 0.0, 0.005961251862891207, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.02, 0.0, 0.02, 0.0, 0.0, nan]",1.8154220581054688,6260.163589000702,141.0826449394226,6278.838124990463,218.73097896575928,10.838176012039185
Cell Cycle Transcription by Coupled CDK and Network Oscillators,False,9,1,0,0.0,4,2.111111111111111,2,3.0,3.0,2.0,5,0.26837416481069043,0.5,0.7683741648106904,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.3458129175946547, 0.329599109131403, 0.5697104677060141, 0.1471714922048997, 0.3312917594654787, 0.3158129175946546, 0.6772828507795103, 0.08790645879732739, 0.5927616926503348]","[0.03333333333333333, -0.0, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333]","[0.375, 0.35, 0.58, 0.125, 0.36, 0.37, 0.48, 0.075, 0.24]","[0.23162583518930957, 1.0, 0.23162583518930957, 0.23162583518930957, 0.23162583518930957, 0.0, 0.23162583518930957, 1.0, 0.0]","[0.09, 0.8, 0.01, 0.29, 0.13, 0.07, 0.07, 0.97, 0.2]",0.2121257781982422,1587.7545058727264,14.958400011062622,1567.8109948635101,6.675367116928101,3.08237886428833
Cortical Area Development,False,5,1,0,0.0,4,2.8,2,1.0,1.0,0.0,1,0.375,0.5,0.875,"[1.0, 0.875, 1.0, 1.0, 1.0]","[0.24, 0.18625, 0.1475, 0.11125, 0.15]","[0.03333333333333333, 0.03333333333333333, -0.0, 0.03333333333333333, 0.03333333333333333]","[0.23, 0.24, 0.2, 0.04, 0.26]","[0.0, 0.0, 0.0, 0.0, 0.0]","[0.08, 0.0, 0.11, 0.11, 0.0]",0.10193204879760742,572.5193498134613,7.970251083374023,559.4435720443726,2.7264978885650635,1.1149048805236816
Fanconi anemia and checkpoint recovery,False,15,1,0,0.0,8,4.4,1,2.0,2.0,0.0,2,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.02, 0.12, 0.29, 0.18, 0.0, 0.09, 0.27, 0.25, 0.08, 0.19, 0.12, 0.17, 0.02, 0.02, 0.01]","[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, -0.0, 0.03333333333333333, -0.0, 0.03333333333333333, 0.03333333333333333, -0.0, -0.0, -0.0, -0.0, 0.06666666666666667, 0.03333333333333333, -0.0]","[0.03, 0.24, 0.54, 0.19, 0.02, 0.17, 0.38, 0.54, 0.05, 1.02, 0.07, 0.12, 0.06, 0.11, 0.05]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.557262897491455,9375.14291214943,275.9023199081421,9190.274479150772,0.00015592575073242188,17.481831073760986
HCC1954 Breast Cell Line Short-term ErbB Network,False,16,1,5,0.3125,6,2.875,92,1.0,1.0,0.0,1,0.01251953519809069,0.0022675736961451248,0.04157218442932729,"[0.46409674981103555, 0.9705215419501134, 0.656084656084656, 0.5018896447467877, 0.5207860922146637, 0.6568405139833711, 0.39606953892668173, 0.99848828420257, 0.3590325018896448, 0.6568405139833711, 0.6568405139833711, nan, nan, nan, nan, nan]","[0.10513227513227902, 0.359168556311424, 0.13376417233560717, 0.2184126984127095, 0.1197354497354542, 0.10468631897203576, 0.10705215419501551, 0.36050642479214096, 0.09055933484505121, 0.12310657596372185, 0.09750566893424374, nan, nan, nan, nan, nan]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, nan, nan, nan, nan, nan]","[0.41478260869563394, 0.6456521739130122, 0.46423913043476156, 0.5285869565217144, 0.4347826086956328, 0.4302173913043287, 0.41836956521737284, 0.6603260869564896, 0.4072826086956344, 0.4494565217391102, 0.44989130434780583, nan, nan, nan, nan, nan]","[0.08465608465608465, 0.0, 0.44973544973544977, 0.013605442176870748, 0.0, 0.028722600151171583, 0.08465608465608465, 0.0, 0.08465608465608465, 0.40513983371126217, 0.0, nan, nan, nan, nan, nan]","[0.1, 0.03, 0.79, 0.04, 0.01, 0.03, 0.08, 0.0, 0.05, 0.68, 0.0, nan, nan, nan, nan, nan]",8.023889064788818,6003.502199888229,652.7236158847809,6038.418566942215,2586.6199939250946,9.01494812965393
Lac Operon,False,13,1,3,0.23076923076923078,4,1.6923076923076923,9,1.0,1.0,0.0,1,0.03843490149103237,0.1246797608881298,0.1349274124679761,"[0.7361229718189582, 0.7361229718189581, 1.0, 0.2596071733561059, 0.7361229718189582, 0.7361229718189581, 0.380871050384287, 0.5123825789923143, 0.7514944491887277, 0.7361229718189582, nan, nan, nan]","[0.26819812126387693, 0.49072587532023926, 0.12955593509820656, 0.12500426985482485, 0.265533731853117, 0.5283347566182749, 0.07035012809564474, 0.5013748932536295, 0.15128095644748069, 0.25308283518360375, nan, nan, nan]","[0.2, 0.2, 0.2, 0.06666666666666667, 0.13333333333333333, 0.16666666666666669, 0.03333333333333333, 0.13333333333333333, 0.13333333333333333, 0.16666666666666669, nan, nan, nan]","[0.45333333333333614, 0.46333333333333643, 0.24555555555555486, 0.1422222222222219, 0.4166666666666684, 0.382222222222223, 0.08222222222222209, 0.444444444444447, 0.24444444444444374, 0.28999999999999915, nan, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, nan, nan, nan]",0.2416231632232666,2595.300698041916,281.58642196655273,2588.7760610580444,39.827346086502075,4.603646993637085
Mammalian Cell Cycle,False,20,1,1,0.05,5,2.55,3,1.0,1.0,0.0,1,0.233913841480989,0.4914361001317523,0.5059288537549407,"[0.997364953886693, 0.997364953886693, 0.5085638998682477, 0.997364953886693, 0.5059288537549407, 0.997364953886693, 0.5085638998682477, 0.997364953886693, 1.0, 0.997364953886693, 1.0, 0.5085638998682477, 0.5085638998682477, 0.997364953886693, 0.5085638998682477, 0.5059288537549407, 0.997364953886693, 0.5085638998682477, 0.5059288537549407, nan]","[0.030606060606060633, 0.10065876152832669, 0.500882740447957, 0.21052700922266154, 0.1308827404479578, 0.4207641633728588, 0.21080368906455882, 0.04047430830039527, 0.18034255599473006, 0.15044795783926213, 0.13060606060606056, 0.4991436100131745, 0.2859815546772073, 0.06052700922266136, 0.26702239789196364, 0.02042160737812913, 0.5501054018445312, 0.5012384716732534, 0.010856389986824772, nan]","[0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.03333333333333333, 0.06666666666666667, 0.03333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.03333333333333333, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, nan]","[0.05333333333333332, 0.12000000000000004, 0.4766666666666673, 0.22999999999999987, 0.22666666666666654, 0.436666666666667, 0.17666666666666672, 0.18000000000000005, 0.12333333333333338, 0.11000000000000001, 0.09333333333333332, 0.4766666666666673, 0.15333333333333343, 0.019999999999999997, 0.16666666666666674, 0.03333333333333333, 0.4633333333333339, 0.3333333333333329, 0.016666666666666666, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.0, 0.0, 0.0, 0.0, nan]",0.7293219566345215,12520.911030054092,75.73070788383484,12246.65301990509,86.06821298599243,18.902790069580078
