graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_scores,stochastic_model_impact_scores,optimization_model_addition_impact_scores,stochastic_model_addition_impact_scores,optimization_state_impact_scores,stochastic_state_impact_scores,optimization_model_time,stochastic_model_time,optimization_model_addition_time,stochastic_model_addition_time,optimization_state_time,stochastic_state_time
Body Segmentation in Drosophila 2013,True,17,1,3,0.17647058823529413,4,1.7058823529411764,17,1.411764705882353,1.0,0.7714633558002353,4,0.03910535268966991,0.050686878256750355,0.14448128848886785,"[0.40975840833728094, 1.0, 0.7257224064424442, 1.0, 0.7465656087162482, 0.7465656087162482, 0.6432970156324017, 1.0, 0.40975840833728094, 1.0, 0.7560397915679774, 0.8398863098057793, 0.7465656087162482, 0.7877783041212695, nan, nan, nan]","[0.1923590715300806, 0.7083988630980581, 0.13157745144481287, 0.38604926575082926, 0.5050876361913768, 0.5229891046897186, 0.2075082899099952, 0.31872572240644326, 0.1947844623401232, 0.4018285172903829, 0.26137849360492715, 0.5564234959734707, 0.48158218853623735, 0.22710090004737105, nan, nan, nan]","[0.2, 0.4, 0.13333333333333333, 0.2, 0.33333333333333337, 0.33333333333333337, 0.06666666666666667, 0.26666666666666666, 0.26666666666666666, 0.2, 0.13333333333333333, 0.26666666666666666, 0.33333333333333337, 0.2, nan, nan, nan]","[0.16352941176470537, 0.5170588235294219, 0.06647058823529395, 0.3141176470588225, 0.5064705882353037, 0.5364705882353054, 0.13176470588235253, 0.23117647058823454, 0.16882352941176418, 0.31764705882352834, 0.24411764705882275, 0.5464705882353059, 0.4711764705882428, 0.08470588235294095, nan, nan, nan]","[0.0, 0.0, 0.3680720037896731, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.33680720037896733, nan, nan, nan]","[0.0, 0.0, 0.32, 0.0, 0.09, 0.03, 0.23, 0.0, 0.0, 0.0, 0.03, 0.0, 0.06, 0.44, nan, nan, nan]",1.4815680980682373,1488.1326611042023,595.35697889328,1665.2829458713531,216.73723101615906,18.10257601737976
BT474 Breast Cell Line Short-term ErbB Network,True,16,1,5,0.3125,6,2.875,65,1.876923076923077,2.0,1.0153846153846153,6,0.0100739738992849,0.014809590973201692,0.04231311706629055,"[0.811706629055007, 0.47602256699576867, 0.3427362482369535, 0.7806770098730605, 1.0000000000000002, 0.6833568406205923, 0.4196050775740479, 0.2771509167842031, 0.5669957686882934, 0.7482369534555712, 0.9929478138222848, nan, nan, nan, nan, nan]","[0.24822284908321746, 0.28130465444287844, 0.19919605077574196, 0.2793018335684076, 0.5319746121297538, 0.23979548660084796, 0.229929478138224, 0.2483215796897053, 0.2546050775740491, 0.231692524682653, 0.2560648801128368, nan, nan, nan, nan, nan]","[-0.0, 0.23333333333333334, 0.06666666666666667, 0.5333333333333333, 0.7999999999999999, 0.4, 0.23333333333333334, 0.5333333333333333, 0.23333333333333334, 0.26666666666666666, 0.7999999999999999, nan, nan, nan, nan, nan]","[0.03938461538461526, 0.07861538461538435, 0.02430769230769224, 0.0663076923076921, 0.37092307692308735, 0.0458461538461537, 0.047384615384615233, 0.07753846153846128, 0.07461538461538436, 0.055230769230769056, 0.06184615384615364, nan, nan, nan, nan, nan]","[0.3787023977433003, 0.3787023977433003, 0.11777150916784203, 0.0, 0.0, 0.15162200282087449, 0.1459802538787024, 0.0, 0.2623413258110014, 0.0, 0.0, nan, nan, nan, nan, nan]","[0.43, 0.38, 0.11, 0.0, 0.0, 0.07, 0.14, 0.0, 0.21, 0.11, 0.0, nan, nan, nan, nan, nan]",7.384505033493042,1209.1253159046173,910.8902721405029,1372.0493450164795,3289.2013218402863,14.682746887207031
Cardiac development,True,15,1,1,0.06666666666666667,7,2.533333333333333,5,1.0,1.0,0.0,1,0.06650822516818208,0.24094707520891365,0.2513927576601671,"[0.5090529247910863, 0.5090529247910863, 0.5090529247910863, 0.5703342618384402, 0.75, 1.0, 0.7486072423398329, 0.4909470752089137, 0.2513927576601671, 0.75, 0.5013927576601671, 1.0, 0.5090529247910863, 0.2576601671309192, nan]","[0.5004178272980514, 0.5027576601671323, 0.5003621169916448, 0.0058565459610027855, 0.11451253481894147, 0.2697841225626742, 0.14, 0.0377924791086351, 0.011002785515320334, 0.2526183844011142, 0.500222841225628, 0.13275069637883008, 0.5007242339832882, 0.2503481894150418, nan]","[0.06666666666666667, 0.1, -0.0, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.1, 0.1, 0.1, 0.06666666666666667, nan]","[0.4220000000000006, 0.5100000000000019, 0.0, 0.019999999999999997, 0.08400000000000002, 0.19199999999999964, 0.10599999999999994, 0.03800000000000001, 0.006000000000000001, 0.2019999999999996, 0.4840000000000015, 0.13399999999999984, 0.49800000000000166, 0.2539999999999994, nan]","[0.07799442896935933, 0.0, 0.0, 0.2576601671309192, 0.07799442896935933, 0.0, 0.0, 0.0, 0.07799442896935933, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.11, 0.03, 1.0, 0.31, 0.11, 0.08, 0.0, 0.0, 0.11, 0.08, 0.05, 0.0, 0.05, 0.0, nan]",2.192225933074951,1107.0296170711517,107.69685006141663,1348.0328001976013,309.38034415245056,10.419890880584717
Cell Cycle Transcription by Coupled CDK and Network Oscillators,True,9,1,0,0.0,4,2.111111111111111,3,1.3333333333333333,1.0,0.4714045207910317,2,0.18901875752426492,0.3654708520179372,0.547085201793722,"[1.0, 1.0, 0.9125560538116593, 0.9125560538116593, 1.0, 1.0, 0.9125560538116593, 0.9125560538116593, 1.0]","[0.3734080717488782, 0.32542600896860935, 0.5660089686098647, 0.04096412556053812, 0.34603139013452844, 0.3277130044843043, 0.4587443946188337, 0.05455156950672646, 0.48999999999999944]","[0.03333333333333333, 0.03333333333333333, 0.03333333333333333, -0.0, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333]","[0.04666666666666666, 0.3333333333333329, 0.483333333333334, 0.0, 0.5633333333333346, 0.3666666666666665, 0.5233333333333343, 0.09666666666666666, 0.16333333333333344]","[0.547085201793722, 0.0, 0.0, 0.9125560538116593, 0.0, 0.0, 0.0, 0.0, 0.3654708520179372]","[0.7, 0.0, 0.0, 1.0, 0.6, 0.0, 0.0, 0.21, 0.31]",0.11301803588867188,198.974524974823,9.782968997955322,196.05481505393982,13.403524160385132,3.2230658531188965
Cortical Area Development,True,5,1,0,0.0,4,2.8,1,3.0,3.0,0.0,3,0.0,1.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0]","[0.46, 0.72, 0.36, 0.12, 0.41]","[0.03333333333333333, -0.0, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333]","[0.37, 0.76, 0.52, 0.32, 0.44]","[0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0]",0.057997941970825195,64.01840400695801,4.284195899963379,61.59686899185181,1.0967254638671875e-05,1.1330981254577637
Fanconi anemia and checkpoint recovery,True,15,1,0,0.0,8,4.4,7,3.5714285714285716,2.0,3.288818409491811,10,0.1633563605554945,0.04345006485084306,0.4876783398184176,"[0.9221789883268483, 0.9208819714656291, 1.0, 1.0, 0.9863813229571985, 0.964332036316472, 0.7574578469520103, 0.7574578469520103, 0.8787289234760052, 1.0, 1.0, 0.9779507133592735, 0.8787289234760052, 0.7574578469520103, 0.964332036316472]","[0.025181582360570668, 0.11650453955901419, 0.34555123216601885, 0.18619325551232177, 0.02651750972762644, 0.15957846952010374, 0.37929312581063657, 0.20467574578469575, 0.05376783398184173, 0.2559208819714659, 0.1681193255512321, 0.31594682230869064, 0.07466277561608294, 0.10286640726329432, 0.028852140077821]","[-0.0, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, -0.0, 0.03333333333333333, -0.0, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333]","[0.005714285714285714, 0.10714285714285714, 0.10428571428571429, 0.11285714285714282, 0.014285714285714282, 0.10285714285714287, 0.2928571428571422, 0.06857142857142863, 0.035714285714285705, 0.0, 0.1057142857142857, 0.10428571428571429, 0.0714285714285715, 0.02285714285714285, 0.012857142857142853]","[0.5123216601815823, 0.39105058365758755, 0.47665369649805445, 0.16472114137483787, 0.04215304798962387, 0.0, 0.36900129701686124, 0.22892347600518806, 0.04215304798962387, 0.3119325551232166, 0.04345006485084306, 0.9565499351491569, 0.0, 0.0, 0.5123216601815823]","[0.43, 0.24, 0.4, 0.12, 0.04, 0.75, 0.81, 0.78, 0.65, 1.0, 0.34, 0.88, 0.64, 0.79, 0.22]",4.27103590965271,2407.5352790355682,494.5079138278961,2640.8796529769897,2811.248421907425,34.09220099449158
HCC1954 Breast Cell Line Short-term ErbB Network,True,16,1,5,0.3125,6,2.875,85,1.7176470588235293,2.0,0.8893059383042002,4,0.0065218756683322636,0.010165184243964422,0.027318932655654382,"[0.5260482846251588, 0.9999999999999999, 0.7134688691232529, 0.4974587039390089, 0.3691232528589581, 0.7681067344345616, 0.5724269377382465, 0.9999999999999999, 0.31512071156289706, 0.6918678526048283, 0.8202033036848793, nan, nan, nan, nan, nan]","[0.32304320203304165, 0.46578780177890733, 0.34670902160102046, 0.4141550190597231, 0.29842439644218965, 0.32190597204574817, 0.2970076238881869, 0.47847522236340656, 0.28916772554002995, 0.34742058449809726, 0.3442757306226213, nan, nan, nan, nan, nan]","[0.26666666666666666, 0.06666666666666667, 0.6666666666666666, 0.8999999999999999, 0.6, 0.6, 0.26666666666666666, 1.0, 0.4, 1.0, 0.06666666666666667, nan, nan, nan, nan, nan]","[0.03882352941176459, 0.009058823529411755, 0.07929411764705857, 0.15058823529411713, 0.031176470588235205, 0.027411764705882278, 0.03352941176470579, 0.2581176470588227, 0.02035294117647054, 0.0631764705882351, 0.04952941176470573, nan, nan, nan, nan, nan]","[0.13532401524777637, 0.8748411689961877, 0.007623888182973317, 0.0, 0.0, 0.216010165184244, 0.19123252858958067, 0.0, 0.1213468869123253, 0.02287166454891995, 0.0, nan, nan, nan, nan, nan]","[0.13, 1.0, 0.06, 0.0, 0.0, 0.25, 0.2, 0.0, 0.13, 0.0, 0.0, nan, nan, nan, nan, nan]",7.5052220821380615,1382.867840051651,1071.931109905243,1544.718034029007,5847.733065843582,14.56742000579834
Iron acquisition and oxidative stress response in aspergillus fumigatus,True,22,1,2,0.09090909090909091,6,1.7272727272727273,8,2.875,2.5,1.7633419974582356,5,0.11591147763762935,0.11013645224171541,0.28109161793372317,"[0.9762183235867445, 0.9762183235867445, 1.0, 1.0, 0.9762183235867445, 0.5251461988304094, 1.0, 1.0, 1.0, 0.9762183235867445, 0.9762183235867445, 0.5251461988304094, 0.9762183235867445, 0.9999999999999999, 0.9762183235867445, 0.9762183235867445, 0.5251461988304094, 1.0, 0.9762183235867445, 0.5251461988304094, nan, nan]","[0.05263547758284605, 0.49667056530214687, 0.7988771929824605, 0.7048499025341181, 0.476670565302147, 0.48554385964912583, 0.7365146198830458, 0.7244210526315833, 0.7285808966861651, 0.7397037037037086, 0.6782962962963017, 0.48320857699805325, 0.4876920077972738, 0.4421130604288519, 0.20820662768031162, 0.7556179337232015, 0.529976608187138, 0.7145575048732989, 0.69952436647174, 0.0780974658869396, nan, nan]","[0.03333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.1, 0.06666666666666667, 0.1, 0.06666666666666667, 0.03333333333333333, 0.06666666666666667, -0.0, 0.06666666666666667, 0.06666666666666667, 0.03333333333333333, 0.13333333333333333, 0.1, 0.06666666666666667, 0.06666666666666667, nan, nan]","[0.035, 0.55875, 0.61625, 0.79125, 0.35875, 0.365, 0.88, 0.7575, 0.94, 0.7925, 0.5975, 0.37875, 0.45875, 0.5275, 0.21125, 0.405, 0.645, 0.58875, 0.57125, 0.135, nan, nan]","[0.2331384015594542, 0.02105263157894737, 0.2331384015594542, 0.2101364522417154, 0.0304093567251462, 0.0, 0.4307992202729045, 0.2331384015594542, 0.0, 0.0, 0.0, 0.0, 0.02105263157894737, 0.0, 0.0, 0.0, 0.45185185185185184, 0.4307992202729045, 0.0, 0.4721247563352826, nan, nan]","[0.07, 0.18, 0.13, 0.04, 0.03, 0.0, 0.1, 0.07, 0.07, 0.0, 0.0, 0.0, 0.06, 0.0, 0.0, 0.13, 0.18, 0.08, 0.0, 0.17, nan, nan]",2.521228075027466,4051.9396851062775,184.23364400863647,5512.856056928635,727.777508020401,43.815168142318726
Lac Operon,True,13,1,3,0.23076923076923078,4,1.6923076923076923,8,1.0,1.0,0.0,1,0.01198848844480843,0.12705238467552776,0.1415168100078186,"[1.0, 1.0, 1.0, 0.49335418295543393, 1.0, 1.0, 0.6215793588741204, 0.5371383893666927, 0.5371383893666927, 1.0, nan, nan, nan]","[0.2260437842064112, 0.6200000000000021, 0.15835027365129006, 0.1101641907740421, 0.23999999999999994, 0.4400000000000008, 0.06935887412040653, 0.5029710711493365, 0.1007427677873338, 0.2623064894448788, nan, nan, nan]","[0.1, 0.26666666666666666, 0.16666666666666669, 0.06666666666666667, 0.26666666666666666, 0.26666666666666666, 0.03333333333333333, 0.13333333333333333, 0.13333333333333333, 0.16666666666666669, nan, nan, nan]","[0.2675, 0.55, 0.16875, 0.1225, 0.21, 0.51, 0.07, 0.5, 0.14125, 0.235, nan, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan, nan, nan]",0.21700191497802734,457.49018716812134,166.34764885902405,448.8217861652374,59.74448800086975,8.517088174819946
Mammalian Cell Cycle,True,20,1,1,0.05,5,2.55,2,1.0,1.0,0.0,1,0.020706455542021912,0.5,0.5207064555420219,"[1.0, 0.5207064555420219, 0.5207064555420219, 0.5207064555420219, 1.0, 1.0, 0.5207064555420219, 1.0, 1.0, 1.0, 1.0, 0.5207064555420219, 0.5207064555420219, 0.5207064555420219, 0.5207064555420219, 0.5207064555420219, 1.0, 0.5207064555420219, 0.5207064555420219, nan]","[0.0, 0.15958587088915954, 0.49792935444579817, 0.24958587088915954, 0.15, 0.52, 0.28289890377588306, 0.05, 0.12, 0.18, 0.1, 0.5020706455542021, 0.28603532277710114, 0.07562119366626066, 0.3039646772228989, 0.03917174177831912, 0.52, 0.5008282582216806, 0.01, nan]","[0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.06666666666666667, 0.03333333333333333, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.03333333333333333, 0.06666666666666667, 0.03333333333333333, 0.03333333333333333, nan]","[0.14, 0.09, 0.5, 0.26, 0.16, 0.46, 0.255, 0.07, 0.16, 0.09, 0.16, 0.5, 0.255, 0.06, 0.225, 0.06, 0.51, 0.5, 0.025, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, nan]",0.6039149761199951,2212.4840111732483,77.77437090873718,2444.186350107193,80.44814801216125,20.52447509765625
