graph_name,is_random,size,maximal_change_bits,n_inputs,normalized_n_inputs,max_degree,mean_degree,num_attractors,mean_attractor_length,median_attractor_length,std_attractor_length,max_attractor_length,std_attractor_basin,median_attractor_basin,max_attractor_basin,optimization_model_impact_score,stochastic_model_impact_score,optimization_state_impact_score,stochastic_state_impact_score,optimization_model_time,stochastic_model_time,optimization_state_time,stochastic_state_time
Apoptosis Network,True,41,1,2,0.04878048780487805,4,1.7804878048780488,18,2.0,2.0,0.816496580927726,4,0.07697178372364653,0.01546506453048509,0.25500667556742324,1.0,0.23368713840676464,0.22207387627948805,0.055,0.049165964126586914,22.28602409362793,237.89376997947693,4.779895067214966
Arabidopsis thaliana Cell Cycle,True,14,1,0,0.0,8,4.714285714285714,5,8.0,3.0,9.50789145920377,27,0.2415139825090834,0.04010130856901646,0.612916842549599,1.0,0.1951519628535247,0.9911355002110511,0.43,0.44579195976257324,31.07036805152893,131.7502110004425,5.160995006561279
B cell differentiation,True,22,1,5,0.22727272727272727,7,1.7727272727272727,38,1.1842105263157894,1.0,0.45045375706904445,3,0.010099462362160229,0.030392570704938792,0.040523427606585054,1.0,0.06437948501477414,0.1785563528914338,0.02,0.07101082801818848,15.196444988250732,57.731228828430176,1.5551819801330566
Body Segmentation in Drosophila 2013,True,17,1,3,0.17647058823529413,4,1.7058823529411764,9,2.4444444444444446,2.0,1.8324913891634047,7,0.042503256393967334,0.1182897862232779,0.1534441805225653,1.0,0.23990261282660327,0.15486935866982776,0.0,0.016954898834228516,5.432398080825806,2.761920928955078,1.157634973526001
Bordetella bronchiseptica,True,33,1,0,0.0,6,2.393939393939394,4,4.0,2.5,2.9154759474226504,9,0.2898388898927917,0.11915367483296213,0.7456075228903737,1.0,0.23452858203415,7.310767813351049e-08,0.125,0.04940986633300781,9.402468919754028,17.072219848632812,4.798791885375977
Budding Yeast Cell Cycle 2009,True,18,1,0,0.0,6,3.2777777777777777,2,27.5,27.5,3.5,31,0.4246428571428571,0.5,0.9246428571428571,1.0,0.5023624999999999,0.9999999999999964,0.12,0.06210589408874512,15.429455995559692,11.78354787826538,2.527052879333496
Cardiac development,True,15,1,1,0.06666666666666667,7,2.533333333333333,2,2.0,2.0,0.0,2,0.013121546961325947,0.5,0.513121546961326,1.0,0.11756560773480663,-0.0,0.0,0.047950029373168945,1.1750869750976562,1.793874979019165,0.8805480003356934
Cell Cycle Transcription by Coupled CDK and Network Oscillators,True,9,1,0,0.0,4,2.111111111111111,1,1.0,1.0,0.0,1,0.0,1.0,1.0,1.0,0.175,0,0.0,0.023902177810668945,0.19933700561523438,2.1457672119140625e-06,0.3906209468841553
Cholesterol Regulatory Pathway,True,34,1,0,0.0,3,1.2647058823529411,2,2.0,2.0,0.0,2,0.06397718011409945,0.5,0.5639771801140995,1.0,0.4120619396903017,-0.0,0.01,0.011132001876831055,1.507106065750122,0.34613990783691406,3.353706121444702
Cortical Area Development,True,5,1,0,0.0,4,2.8,2,1.0,1.0,0.0,1,0.40625,0.5,0.90625,1.0,0.111875,-0.0,0.1,0.0071258544921875,0.29007411003112793,0.20886516571044922,0.29087090492248535
